Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Vinnie_Mele,Vinnie_Mele,,3,Source,47,0.000042,0.019026
ccm,ccm,,56,; Target,62,0.000673,0.011586
Kevin_Jonas,Kevin_Jonas,,5,Source,62,0.000055,0.012145
Vinnie_Bell,Vinnie_Bell,,1,Source,62,0.00002,0.012594
Jenny_Vincent,Jenny_Vincent,,2,Source,10,0.00002,0.004547
Georges_Thurston,Georges_Thurston,,3,Source,84,0.000037,0.010124
Roch_Voisine,Roch_Voisine,,1,Source,62,0.00002,0.012594
Doris_Akers,Doris_Akers,,1,Source,62,0.000019,0.001724
Amaury_Vassili,Amaury_Vassili,,1,Source,50,0.00002,0.000199
Doseone,Doseone,,2,Source,90,0.000029,0.002464
Frederick_Noad,Frederick_Noad,,3,Source,50,0.000042,0.0056
Paul_Wassif,Paul_Wassif,,3,Source,10,0.000039,0.010141
Pat_Wilson,Pat_Wilson,,5,Source,149,0.000052,0.007463
Peter_Stampfel,Peter_Stampfel,,1,Source,10,0.00002,0.004547
Jeff_Heisholt,Jeff_Heisholt,,1,Source,143,0.000019,0.001352
Bob_Roberts,Bob_Roberts,,2,Source,47,0.000033,0.000354
Kerry_Livgren,Kerry_Livgren,,2,Source,31,0.000028,0.00927
Tim_Wheeler,Tim_Wheeler,,3,Source,149,0.000036,0.00573
Kathy_Brown,Kathy_Brown,,2,Source,62,0.000027,0.00227
Sunjay,Sunjay,,3,Source,10,0.000039,0.008848
Jeru_the_Damaja,Jeru_the_Damaja,,1,Source,90,0.000022,0.004706
Juicy_J,Juicy_J,,1,Source,90,0.000022,0.004706
Alirio_DÃ­az,Alirio_DÃ­az,,1,Source,50,0.00002,0.000774
Shannon_Worrell,Shannon_Worrell,,2,Source,10,0.000029,0.012807
Dylan_Kight,Dylan_Kight,,3,Source,149,0.000039,0.001958
Cortelia_Clark,Cortelia_Clark,,1,Source,47,0.000019,0.003835
Robert_Ellis_Orrall,Robert_Ellis_Orrall,,4,Source,149,0.000052,0.02983
Tuomas_SeppÃ¤lÃ¤,Tuomas_SeppÃ¤lÃ¤,,1,Source,31,0.000024,0.00014
Melissa_Steel,Melissa_Steel,,3,Source,84,0.000037,0.009642
Billy_Bean,Billy_Bean,,1,Source,47,0.00002,0.004197
Blackie_Lawless,Blackie_Lawless,,5,Source,31,0.000051,0.005504
Cool_C,Cool_C,,3,Source,90,0.000046,0.000618
blue_comedy,blue_comedy,,10,; Target,43,0.000109,0.00139
neo_soul,neo_soul,,99,; Target,62,0.00101,0.027595
Mark_Hart,Mark_Hart,,3,Source,62,0.00004,0.021143
Amtrac,Amtrac,,5,Source,62,0.000045,0.001214
Betty_Kelly,Betty_Kelly,,2,Source,62,0.000028,0.012965
Doyle_Holly,Doyle_Holly,,3,Source,143,0.000043,0.007763
Lena_Fayre,Lena_Fayre,,1,Source,149,0.000019,0.001039
Waddy_Wachtel,Waddy_Wachtel,,4,Source,10,0.000049,0.02681
Roy_Book_Binder,Roy_Book_Binder,,2,Source,10,0.000034,0.0003
Erika_Selin,Erika_Selin,,1,Source,62,0.00002,0.012594
Mary_J._Blige,Mary_J._Blige,,2,Source,62,0.000028,0.008139
Scotty_ATL,Scotty_ATL,,1,Source,90,0.000022,0.004706
Celia_Cruz,Celia_Cruz,,5,Source,50,0.000063,0.000666
Tim_Bowness,Tim_Bowness,,4,Source,149,0.000042,0.00153
Trisha_Yearwood,Trisha_Yearwood,,3,Source,143,0.000043,0.007888
Piggy_D.,Piggy_D.,,6,Source,149,0.000057,0.005956
Jenny_Ross,Jenny_Ross,,4,Source,149,0.000043,0.005869
David_Van_Day,David_Van_Day,,2,Source,10,0.00003,0.020854
Carole_Fredericks,Carole_Fredericks,,5,Source,46,0.000059,0.021977
Shawn_Lane,Shawn_Lane,,3,Source,47,0.000036,0.001099
Louane_Emera,Louane_Emera,,3,Source,149,0.000037,0.001339
Doug_Fieger,Doug_Fieger,,3,Source,149,0.000036,0.010136
Annette_Conlon,Annette_Conlon,,4,Source,10,0.000052,0.013179
Stan_Ridgway,Stan_Ridgway,,6,Source,143,0.000064,0.004699
Jennifer_Finch,Jennifer_Finch,,4,Source,31,0.000042,0.004672
Larry_Stephenson,Larry_Stephenson,,2,Source,143,0.000033,0.007667
Larry_Pierce,Larry_Pierce,,2,Source,143,0.000033,0.007147
Cynthia_Robinson,Cynthia_Robinson,,3,Source,62,0.000036,0.014565
George_Evans,George_Evans,,1,Source,47,0.00002,0.004197
Sheryfa_Luna,Sheryfa_Luna,,3,Source,62,0.000042,0.025188
Jordan_Corey,Jordan_Corey,,2,Source,9,0.00003,0.00069
Johnny_Jolin,Johnny_Jolin,,4,Source,10,0.000052,0.017382
post_hardcore,post_hardcore,,109,; Target,149,0.001004,0.020651
Craig_Else,Craig_Else,,4,Source,10,0.000048,0.021358
Parker_Lundgren,Parker_Lundgren,,2,Source,31,0.000026,0.002046
Major_Matt_Mason_USA,Major_Matt_Mason_USA,,2,Source,149,0.00002,0.000179
Victoria_Banks,Victoria_Banks,,1,Source,143,0.000023,0.006931
Tim_Steward,Tim_Steward,,4,Source,10,0.000046,0.00414
Trey_Pearson,Trey_Pearson,,1,Source,9,0.000019,0.002843
instrumental_rock,instrumental_rock,,69,; Target,31,0.000665,0.013214
Jimmy_Demers,Jimmy_Demers,,1,Source,62,0.00002,0.012594
Harvey_Reid,Harvey_Reid,,1,Source,10,0.00002,0.004547
Ari_Borovoy,Ari_Borovoy,,2,Source,50,0.00003,0.012905
Romeo_Santos,Romeo_Santos,,3,Source,62,0.00004,0.008342
Tom_Guerra,Tom_Guerra,,3,Source,10,0.000036,0.004576
Dutch_Mason,Dutch_Mason,,1,Source,47,0.000019,0.003835
Larissa_Lam,Larissa_Lam,,3,Source,62,0.000038,0.012993
Tift_Merritt,Tift_Merritt,,3,Source,10,0.000037,0.002164
Tunde_Adebimpe,Tunde_Adebimpe,,2,Source,149,0.000026,0.002637
Chris_Medina,Chris_Medina,,2,Source,10,0.00003,0.020854
Jewell,Jewell,,1,Source,62,0.000019,0.007889
Michael_Johns,Michael_Johns,,5,Source,9,0.000057,0.029649
Beryl_Davis,Beryl_Davis,,2,Source,50,0.000031,0.000631
Mike_Cross,Mike_Cross,,1,Source,10,0.00002,0.004547
Brad_Whitford,Brad_Whitford,,3,Source,31,0.000034,0.006121
jazz_funk,jazz_funk,,17,; Target,62,0.000169,0.003471
Valvin_Roane,Valvin_Roane,,3,Source,62,0.00004,0.017671
Jim_Collins,Jim_Collins,,1,Source,143,0.000023,0.006931
Mirah,Mirah,,3,Source,149,0.000038,0.00325
Paul_Wong,Paul_Wong,,4,Source,63,0.000058,0.010525
Jimmy_Page,Jimmy_Page,,5,Source,31,0.000056,0.021285
Jo_Stafford,Jo_Stafford,,1,Source,50,0.000021,0.000512
Theola_Kilgore,Theola_Kilgore,,2,Source,62,0.000028,0.0068
Andy_Williams,Andy_Williams,,2,Source,9,0.00003,0.000893
Dave_Felton,Dave_Felton,,3,Source,31,0.000033,0.001495
