,genre,community,Frequency_total,Frequency_female,Frequency_male
0,blues,0,1067,245,822
1,boogie_woogie,0,24,3,21
2,chicago_soul,1,6,0,6
3,r&b,1,2061,966,1095
4,hip_hop,2,1395,248,1147
5,jazz,3,1173,489,684
6,heavy_metal,4,587,40,547
7,sludge_metal,5,16,0,16
8,punk_rock,5,470,78,392
9,psychedelic_rock,6,214,20,194
10,rap_metal,7,18,0,18
11,soul,8,1305,677,628
12,doo_wop,9,38,11,27
13,death_metal,4,88,1,87
14,grindcore,4,20,0,20
15,punk,10,59,13,46
16,new_wave,11,352,84,268
17,folk,12,1288,533,755
18,rockabilly,9,166,18,148
19,americana,13,331,125,206
20,roots_rock,14,70,9,61
21,rock&roll,9,370,37,333
22,shoe_gaze,15,26,8,18
23,alternative_rock,16,1152,242,910
24,schlager,17,67,41,26
25,dansband,17,17,10,7
26,pop_rock,18,805,286,519
27,ccm,19,56,30,26
28,experimental,20,196,41,155
29,post_punk,11,187,24,163
30,country_rock,14,201,30,171
31,electro_house,21,17,6,11
32,indie_rock,22,612,168,444
33,acoustic_rock,23,60,15,45
34,hard_rock,24,789,55,734
35,electronic,25,281,114,167
36,electro_pop,26,156,107,49
37,dream_pop,27,67,47,20
38,indie_folk,28,134,55,79
39,rock,29,2209,461,1748
40,urban,30,25,13,12
41,christian_metal,19,28,2,26
42,nu_metal,7,106,6,100
43,screamo,31,9,0,9
44,post_hardcore,31,109,1,108
45,alternative_country,13,184,59,125
46,gospel,32,450,226,224
47,instrumental_rock,33,69,3,66
48,blue_eyed_soul,34,115,22,93
49,avant_garde,20,67,18,49
50,hardcore_punk,5,172,5,167
51,crossover_thrash,4,18,0,18
52,pop,35,3281,1670,1611
53,show_tunes,35,9,3,6
54,pub_rock,11,13,0,13
55,synth_pop,11,244,92,152
56,electronica,36,221,97,124
57,britpop,16,41,3,38
58,experimental_rock,15,149,18,131
59,indie_pop,28,294,172,122
60,rap_rock,2,41,2,39
61,alternative_hip_hop,2,96,8,88
62,garage_rock,37,84,13,71
63,folk_rock,38,498,151,347
64,country,39,2027,635,1392
65,country_pop,39,91,50,41
66,progressive_metal,4,113,4,109
67,symphonic_metal,4,43,13,30
68,singer_songwriter,40,106,42,64
69,oi!,5,6,0,6
70,dance_pop,26,229,168,61
71,traditional_pop,41,128,63,65
72,reggae,10,170,39,131
73,dance,21,388,256,132
74,electronic_rock,42,47,4,43
75,teen_pop,35,23,11,12
76,thrash_metal,4,130,3,127
77,flamenco,43,52,3,49
78,funk,44,386,103,283
79,electro,45,43,20,23
80,contemporary,46,117,62,55
81,jangle_pop,22,19,5,14
82,skate_punk,5,21,0,21
83,pop_punk,31,143,28,115
84,world,47,158,52,106
85,electro_acoustic,20,10,3,7
86,swing,41,98,22,76
87,vocal_jazz,41,88,71,17
88,latin,48,55,19,36
89,alternative_metal,7,186,18,168
90,acid_jazz,44,18,6,12
91,bolero,49,18,3,15
92,son_cubano,49,12,0,12
93,soft_rock,46,217,41,176
94,ambient,27,82,18,64
95,g_funk,2,17,0,17
96,gangsta_rap,2,84,2,82
97,progressive_rock,50,278,12,266
98,funk_metal,7,28,0,28
99,comedy,39,28,6,22
100,old_time,51,37,8,29
101,acoustic,52,182,54,128
102,neo_soul,53,99,54,45
103,metalcore,31,80,4,76
104,groove_metal,4,48,1,47
105,folk_punk,5,21,0,21
106,pop_rap,2,32,12,20
107,electro_punk,42,9,2,7
108,blues_rock,54,413,38,375
109,noise_rock,15,58,4,54
110,hip_house,2,10,4,6
111,alternative_r&b,36,46,21,25
112,house,21,179,118,61
113,bakersfield_sound,39,9,0,9
114,chamber_pop,28,14,5,9
115,roots,13,50,16,34
116,country_folk,13,28,18,10
117,celtic,12,74,45,29
118,punk_blues,37,16,2,14
119,swamp_rock,14,16,2,14
120,boogie,44,9,2,7
121,trance,36,23,15,8
122,hi_nrg,26,24,18,6
123,alternative,52,153,71,82
124,comedy_rock,5,17,0,17
125,trip_hop,36,82,54,28
126,jazz_fusion,33,150,14,136
127,horrorcore,2,22,0,22
128,hardcore_hip_hop,2,37,1,36
129,broadway,35,21,14,7
130,electric_blues,55,190,18,172
131,countrypolitan,39,8,1,7
132,art_rock,15,145,30,115
133,chicago_blues,55,93,6,87
134,gothic_metal,4,33,10,23
135,gothic_rock,11,49,18,31
136,funk_rock,56,38,3,35
137,industrial,20,46,8,38
138,childrens,57,37,18,19
139,underground_hip_hop,2,29,0,29
140,chanson,58,68,30,38
141,hyphy,2,15,0,15
142,bluegrass,51,186,38,148
143,math_rock,15,14,1,13
144,indie,52,129,62,67
145,psychedelic,20,44,13,31
146,melodic_hardcore,5,26,2,24
147,classical,43,206,42,164
148,spoken_word,2,33,9,24
149,smooth_jazz,33,34,5,29
150,opera,43,51,27,24
151,rap,2,44,9,35
152,smooth_soul,8,6,3,3
153,freestyle,26,35,25,10
154,observational_comedy,59,18,2,16
155,blue_comedy,59,10,2,8
156,post_grunge,7,93,13,80
157,eurodance,26,33,23,10
158,technical_death_metal,4,18,0,18
159,crunk,2,12,2,10
160,ska,10,58,4,54
161,alternative_pop,26,24,17,7
162,tejano,60,19,6,13
163,satire,59,19,3,16
164,latin_pop,60,57,27,30
165,emo,31,73,3,70
166,honky_tonk,39,39,14,25
167,outlaw_country,39,50,6,44
168,power_metal,4,80,3,77
169,contemporary_christian,19,119,48,71
170,neo_psychedelic,6,35,4,31
171,deathrock,5,10,3,7
172,christian_pop,19,25,12,13
173,christian_rock,19,49,7,42
174,baroque_pop,28,45,15,30
175,psychedelic_soul,44,17,4,13
176,southern_rock,14,115,6,109
177,art_pop,27,51,31,20
178,a_cappella,61,19,7,12
179,ragtime,55,17,1,16
180,country_blues,55,95,15,80
181,industrial_rock,7,46,4,42
182,film,43,52,10,42
183,symphonic_rock,50,14,3,11
184,glam_rock,37,79,11,68
185,heartland_rock,14,22,2,20
186,disco,62,195,114,81
187,black_comedy,59,8,3,5
188,insult_comedy,59,6,2,4
189,grunge,63,87,20,67
190,piano_rock,18,7,1,6
191,emo_pop,31,16,2,14
192,jazz_rock,64,24,2,22
193,rocksteady,10,12,0,12
194,ska_punk,5,27,0,27
195,french_pop,58,48,22,26
196,edm,65,55,26,29
197,psychedelic_pop,6,27,6,21
198,hip_hop_soul,66,35,21,14
199,cabaret,3,33,23,10
200,easy_listening,41,79,21,58
201,soundtrack,67,14,1,13
202,indietronica,16,18,6,12
203,industrial_metal,7,51,3,48
204,piedmont_blues,55,42,3,39
205,acid_rock,6,26,1,25
206,tex_mex,14,11,0,11
207,fusion,50,33,6,27
208,shock_rock,4,19,2,17
209,post_punk_revival,22,27,5,22
210,lo_fi,22,69,15,54
211,new_jack_swing,66,39,20,19
212,musical,68,68,35,33
213,texas_blues,55,55,7,48
214,drill,2,6,0,6
215,metal,69,30,3,27
216,doom_metal,4,35,3,32
217,vocal,41,22,14,8
218,aor,18,15,6,9
219,mpb,70,24,2,22
220,bossa_nova,70,30,6,24
221,post_disco,62,25,11,14
222,proto_punk,37,27,3,24
223,alternative_dance,11,30,10,20
224,contemporary_worship,19,11,0,11
225,melodic_death_metal,4,36,3,33
226,black_metal,4,38,2,36
227,celtic_punk,5,8,0,8
228,techno,21,24,11,13
229,soul_blues,55,64,12,52
230,dancehall,10,31,8,23
231,power_pop,31,145,18,127
232,worship,19,30,14,16
233,classic_rock,16,18,2,16
234,art_punk,11,16,1,15
235,vaudeville,0,19,9,10
236,jesus,19,5,1,4
237,drone,27,13,1,12
238,classical_crossover,43,29,18,11
239,folk_pop,28,47,28,19
240,down_tempo,36,19,8,11
241,big_band,41,39,5,34
242,dixieland,3,8,3,5
243,post_rock,27,37,8,29
244,avant_garde_rock,20,16,2,14
245,cumbia,60,11,1,10
246,glam_metal,24,111,7,104
247,samba,70,16,2,14
248,salsa,35,19,5,14
249,speed_metal,4,46,1,45
250,neotraditional_country,39,21,5,16
251,northern_soul,8,10,7,3
252,garage_punk,37,22,3,19
253,reggae_fusion,10,24,6,18
254,western,39,26,4,22
255,canadian_blues,0,5,0,5
256,southern_gospel,71,36,5,31
257,christian,71,87,31,56
258,new_age,47,55,22,33
259,rock_pop,3,28,5,23
260,avant_garde_pop,25,11,7,4
261,louisiana_blues,72,13,1,12
262,swamp_blues,72,12,1,11
263,k_pop,73,33,9,24
264,drum&bass,36,14,5,9
265,grime,2,19,11,8
266,urban_contemporary,1,9,6,3
267,jump_blues,41,32,4,28
268,dubstep,36,20,7,13
269,traditional_popular,41,6,1,5
270,stoner_rock,6,19,1,18
271,opera_pop,43,24,13,11
272,2_tone,10,6,0,6
273,sketch_comedy,59,7,1,6
274,musical_comedy,59,15,3,12
275,bebop,3,10,4,6
276,mathcore,5,9,0,9
277,trap,2,66,5,61
278,trova,49,11,0,11
279,guaracha,49,14,2,12
280,east_coast_hip_hop,2,42,1,41
281,irish_traditional,12,12,8,4
282,cajun,74,24,3,21
283,arena_rock,24,7,0,7
284,neoclassical_metal,4,29,2,27
285,western_swing,39,45,3,42
286,europop,26,22,12,10
287,street_punk,5,5,0,5
288,west_coast_hip_hop,2,56,1,55
289,southern_soul,75,21,9,12
290,electroclash,11,13,10,3
291,detroit_blues,55,14,2,12
292,inspirational,32,19,10,9
293,horror_punk,5,19,1,18
294,psychedelic_folk,38,32,14,18
295,new_flamenco,47,8,0,8
296,glam_punk,5,14,2,12
297,brazilian_rock,70,8,0,8
298,instrumental,47,22,2,20
299,boogie_rock,54,11,0,11
300,slowcore,22,11,1,10
301,shoegaze,27,17,7,10
302,uk_garage,2,17,13,4
303,nashville_sound,39,14,9,5
304,soul_jazz,3,11,0,11
305,jazz_funk,1,17,3,14
306,anarcho_punk,5,10,4,6
307,surf,29,10,0,10
308,delta_blues,55,46,2,44
309,progressive_bluegrass,51,8,0,8
310,minneapolis_sound,44,7,5,2
311,comedy_hip_hop,2,8,0,8
312,political_hip_hop,2,12,0,12
313,space_rock,6,23,3,20
314,free_jazz,20,21,4,17
315,crossover,43,7,3,4
316,dark_wave,11,12,3,9
317,post_bop,3,8,3,5
318,cool_jazz,3,11,5,6
319,hawaiianan,39,16,2,14
320,southern_hip_hop,2,36,0,36
321,character_comedy,59,6,3,3
322,dub,10,28,3,25
323,reggae_rock,16,9,1,8
