Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,Cluter-ID,Cluster,clustering,triangles,eigencentrality
soul,11,2638,4,0.469231,0.539617,0.024885,0.250194,0.250194,0,0.0307,0,2,0,0.581818,32,0.648398
r&b,16,3841,4,0.484127,0.577869,0.080838,0.296445,0.296445,0,0.045881,0,2,0,0.35,42,0.769416
pop,24,4679,3,0.586538,0.680328,0.319712,0.378373,0.378373,0,0.071862,0,2,0,0.213768,59,1
rock,20,3308,3,0.575472,0.653005,0.246144,0.341167,0.341167,1,0.058889,0,2,0,0.273684,52,0.922356
hip_hop,8,1037,4,0.398693,0.467213,0.096858,0.128155,0.128155,0,0.028849,0,0,0,0.321429,9,0.332782
heavy_metal,10,904,4,0.438849,0.512295,0.118395,0.089576,0.089576,2,0.0387,0,1,0,0.222222,10,0.271569
hard_rock,9,1178,4,0.435714,0.504098,0.038012,0.103927,0.103927,2,0.03086,0,1,0,0.333333,12,0.30651
blues,12,1664,4,0.469231,0.545082,0.020214,0.270088,0.270088,1,0.033075,0,2,0,0.545455,36,0.702366
folk,13,1641,3,0.512605,0.579235,0.111242,0.237099,0.237099,1,0.039515,0,2,0,0.333333,26,0.633406
country,14,1662,4,0.476562,0.561475,0.087388,0.254542,0.254542,1,0.041556,0,2,0,0.32967,30,0.666662
jazz,12,1601,4,0.469231,0.545082,0.099537,0.247876,0.247877,1,0.037555,0,2,0,0.439394,29,0.643814
dance,5,633,4,0.391026,0.442623,0.000911,0.113373,0.113374,0,0.01569,0,2,0,0.8,8,0.293209
funk,8,951,4,0.445255,0.504098,0.011547,0.202817,0.202817,0,0.022937,0,2,0,0.75,21,0.525226
indie_rock,4,418,4,0.393548,0.437158,0.002678,0.060677,0.060677,3,0.014376,0,2,0,0.666667,4,0.173757
alternative_rock,20,1819,3,0.54955,0.639344,0.327656,0.201414,0.201414,3,0.072457,0,1,0,0.142105,27,0.583909
pop_rock,9,907,3,0.484127,0.538251,0.028835,0.190536,0.190536,3,0.027035,0,2,0,0.472222,17,0.519796
