,artist_uri,related_uri,cluster
0,spotify:artist:1SeMQzRdozt9AbIhddltOO,spotify:artist:3yqE4KYS5n8V8wzE1Xsq34,1
1,spotify:artist:1SeMQzRdozt9AbIhddltOO,spotify:artist:6XBkny92syvAWxlIX8CZAM,1
2,spotify:artist:1SeMQzRdozt9AbIhddltOO,spotify:artist:6GDSMFwAQBfnrrZf981Yji,1
3,spotify:artist:1SeMQzRdozt9AbIhddltOO,spotify:artist:3Ux0uEJhtU94oX2GaGiRql,1
4,spotify:artist:1SeMQzRdozt9AbIhddltOO,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,1
0,spotify:artist:3yqE4KYS5n8V8wzE1Xsq34,spotify:artist:1SeMQzRdozt9AbIhddltOO,2
1,spotify:artist:3yqE4KYS5n8V8wzE1Xsq34,spotify:artist:6XBkny92syvAWxlIX8CZAM,2
2,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:7tIs7rxqGuBvWMhIIigunf,2
3,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:14h0UcPJlGYv5Qrjp7m1jQ,2
4,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:0wOnokuOcSoYAUZN6jmpDc,2
5,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:76ODQBEHQvAbQIUbALYkyi,2
6,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:2rTgolMbO5tyXZvD26bO8e,2
7,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:0szj7Sxtyluyjc2Arj0njB,2
8,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:66Pq6HMX0YqsJgtUZrFwmo,2
9,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:0i9f82nIFjrLnnsf2YX3vY,2
10,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:3apueasSp0paDZeS4aU06g,2
11,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:2ahMUMyJ2xTC1Qaneot7Sm,2
12,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:6fU4BXH81Y9lMOopk9ida3,2
13,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:5qdAW04hszBSzncQhJyjXZ,2
14,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:46Unp6DY3Zmy7QS1Fx47yq,2
15,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:3lQuLlW6tYv1nm3nzyJ6Ty,2
16,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:1rFQlnVFNwI3H6QLDL7LFN,2
17,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:4xcYVPssil6vbG6tq3W43S,2
18,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:7s7Q0xacR6ShONfklPYcPz,2
19,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:3yFnqoyp1e54tZEY4ykvNB,2
20,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:3b10T0AUpBLms8moTPVRxM,2
21,spotify:artist:6XBkny92syvAWxlIX8CZAM,spotify:artist:0gWNSMYCSHF4wxIs1XTSDh,2
22,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:46Unp6DY3Zmy7QS1Fx47yq,2
23,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:0wOnokuOcSoYAUZN6jmpDc,2
24,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:6G39Gakqv1r26pZzijSWti,2
25,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:0szj7Sxtyluyjc2Arj0njB,2
26,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:7tIs7rxqGuBvWMhIIigunf,2
27,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:3dE4AKlTQ3EW6yU6F9LuQT,2
28,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:5qdAW04hszBSzncQhJyjXZ,2
29,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:76ODQBEHQvAbQIUbALYkyi,2
30,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:4xcYVPssil6vbG6tq3W43S,2
31,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:4fxdqujwhb2NIQyr7qnnPX,2
32,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:6fU4BXH81Y9lMOopk9ida3,2
33,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:0c08N8UlFjDaup9TNDaWxy,2
34,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:5bO7gAKKIwHwhxdsCR1UN0,2
35,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:66Pq6HMX0YqsJgtUZrFwmo,2
36,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:5QsUbpxSE8lCZ5ga5rnD22,2
37,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:1ARZrF9nU4zgdDHuBIfqMq,2
38,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:0NqxUSg57tX1o1WG7VU1Vp,2
39,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:5b2OzvLaL6nyxw5pbVbSdy,2
40,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:0gWNSMYCSHF4wxIs1XTSDh,2
41,spotify:artist:6GDSMFwAQBfnrrZf981Yji,spotify:artist:14h0UcPJlGYv5Qrjp7m1jQ,2
42,spotify:artist:3Ux0uEJhtU94oX2GaGiRql,spotify:artist:1SeMQzRdozt9AbIhddltOO,2
43,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:6XBkny92syvAWxlIX8CZAM,2
44,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:4HWuBq06j7T9UWIuC2LI1Q,2
45,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:2ahMUMyJ2xTC1Qaneot7Sm,2
46,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:0SvIuohV4vKZMDgvyZfqFZ,2
47,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:7Ahlc3CNZXvZmmgJRlqVKk,2
48,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:7xtcGbekxxpt8b4gWtVG9T,2
49,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:6YP29z0C2lH8gvToUlJUHg,2
50,spotify:artist:2oJfCaCBlG3uujPcxAWVgh,spotify:artist:1c9IYVDDHlIq1Bk6zsJCqA,2
