,artist_uri,related_uri,cluster
0,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:4L7gvSbytWzsdwccobRqEn,1
1,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:3T2RYVVlvB05Mu9dQQ1dhw,1
2,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:6XtJqZyPycC8vkd4ad5XMa,1
3,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:2aLeZOVosl39Tt86r6s9uT,1
4,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,1
5,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:0nXInlWsHhoBVcH3UCYfbj,1
6,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:1ieFEBxZVmrYkccNLKa1kS,1
7,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:1I1TLCKGCwJNCAIp1woh7H,1
8,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:69Tueb06Y32WDI8lkmRmXx,1
9,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:4ljEhnHRoosgkKTnfdLf1D,1
10,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:2fuKbSG9JUgmD9i6GzPlLq,1
11,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:78pDzlxYxCgJRGNx13Dm7Q,1
12,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:69iAgshqYUmf7UOTwbTAfT,1
13,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:5wahmXAVAQXaRJfSXZFPJi,1
14,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:6NK8xDT5xRsZHJtOdsax4Z,1
15,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:4E8Xws7ABVD1z8vWnPp9sm,1
16,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:3kFYJH5br9Jp8v3Kb5A4Y2,1
17,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:3XBXYPFDzX3cPTLbeWIW0T,1
18,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:75EjVkvyMWwJWpxXgtf5Xe,1
19,spotify:artist:5Zluj4h3SeU2ebu8dbdkfx,spotify:artist:3YJECMMUkF6hLwcSbYCsM7,1
0,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:5aV6tDnBgmezgCSTvL5HnV,2
1,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:4fqd1tgX1D2YESwxzr2cvd,2
2,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:1CSyDCZKVQyFIW0Eo8CHDp,2
3,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:60PxSDzeNfdNALOPi5oe7b,2
4,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:7rB502Ec9wP6wZQxhztkM7,2
5,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:01buTDfh4qo8wbcUt9Enly,2
6,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:4PnQiTQ8DJhahboxQRj4Be,2
7,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:4E5eAkpbJLO40r8fWNWm6X,2
8,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:6gfqvidGxCJgbqSaserlkF,2
9,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:3WAkTbMThUvVRq5keECFtS,2
10,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:6QtdwqSCN5B4wvBoHaNwTx,2
11,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:40iD7Eehimq75Ow4VUxk3r,2
12,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:0n0pcmxYdOHk1fl5gvWGiU,2
13,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:2oxmEjNo7UXIiZi7X7ovGq,2
14,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:4lCaf25RGJ4ZPz2fsGUVcq,2
15,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:2fj5pzLyOKDpUOPZs9q3wt,2
16,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:55kipiKplrHBCZN6L1gtrv,2
17,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:0qqGnmHBX2yVvCITRAvuRD,2
18,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:4NEA48c6ajydrRzCbyll3M,2
19,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,spotify:artist:2QkNXWhQoTVUMyS9OIDP0H,2
20,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:7xhEuOtvDtyDjvRPztjyKX,2
21,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:1I1TLCKGCwJNCAIp1woh7H,2
22,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:69Tueb06Y32WDI8lkmRmXx,2
23,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:2fuKbSG9JUgmD9i6GzPlLq,2
24,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:2zHx0ixjyCxU9YgLGlKiCl,2
25,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:5TtIXE1sTJFDVyaMJ0wXcA,2
26,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:0YcK0gHl49ytOvwozKjL3O,2
27,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:22wAzrQnS0GITUUKOtfILK,2
28,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:2C4FV2dXQnchHkWS0OxlrJ,2
29,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:6qB9wBYpidxuG3oU5Q831X,2
30,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:7aiSslU7ICC7cVirTZsMPj,2
31,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:7iJuHcQs5dgGvxqAELDZ0M,2
32,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:7q3vuFMqQKUWBHoCaXbJnH,2
33,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:161Qw7DeYgutzAWxx16fyi,2
34,spotify:artist:69iAgshqYUmf7UOTwbTAfT,spotify:artist:78Wmcq9IXlQ1NV6sXmtePk,2
