,artist_uri,related_uri,cluster
0,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:0kfqVAInJjLCEMm7XafFNH,1
1,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6guhoJkgdjHGLR8VDuiBij,1
2,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:1ppiD0FZo4EJPd16jpxFCO,1
3,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,1
4,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,1
5,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:0CA8v6MOoW3PshEsom6x8E,1
6,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6ZCOlOlt0j2f0WWLrBS4qe,1
7,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6hYBRtEM8rTboQOTDFfd0R,1
8,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:429mpc0P2wGkdfwO6oq53K,1
9,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:4GfarKeZ7psDlMyQxyIwEV,1
10,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6HuCVd1gfnmbI1IAbQgrbH,1
11,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:6S77IqGowtUH4DoN0HIY5M,1
12,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:25QUfZT7NDpZpVrAzPlruV,1
13,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:4sHA2suQiw5hIhDq95IO1H,1
14,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:4pfvLjTNjH9F0Wuscn529s,1
15,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:0nyIeVdYqgEzKHqqfqtVsV,1
16,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:49OkYdzD20su6cwKJqTj48,1
17,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:008u46cZGtvC4uWeDF3RLU,1
18,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:2LYG5ymNBlzplC26IUhdef,1
19,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,spotify:artist:4O3lYxQaa3dj4gGaya7UYU,1
0,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,2
1,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:4O3lYxQaa3dj4gGaya7UYU,2
2,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,2
3,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:7i18353CDGvmHUn5PdKpk4,2
4,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:0LiuNVVtT2UwtrtdcgCWMt,2
5,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:2VYJ4eA2D7A3W3vKYTsSzH,2
6,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:0mpfQZawyjoZ0GHDMH05B3,2
7,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:6wQmOG6Yw33ZSDDvdxfvWP,2
8,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:0wB1tdTPm3F3Ev17WrDq1w,2
9,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:4iaQFKjcniSdaoJnY9hede,2
10,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:4WXIF211lYZfYEn0d13Ac0,2
11,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:3JamY45rtaJluNZPgdVSkl,2
12,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:56fhn9tDzNifxIneqUDgje,2
13,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:3LaOUcThc0VfZncMJg9eOk,2
14,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:5KTVBYvHhoIUMMv3o8ZILZ,2
15,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:7ojknTbOMIO4iivbQFnrBW,2
16,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:3geRfxPiAcLC93h3EcFOPm,2
17,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:2G0mlnvYZDMkO0Y035GBZt,2
18,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:08ObxLXzMyHCOExZNp6ngv,2
19,spotify:artist:0kfqVAInJjLCEMm7XafFNH,spotify:artist:3uxiidYJwANnT1qjpnypqv,2
20,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:0kfqVAInJjLCEMm7XafFNH,2
21,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:4O3lYxQaa3dj4gGaya7UYU,2
22,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:2Ilw96AgJxhArKIpy3b1oY,2
23,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:7i18353CDGvmHUn5PdKpk4,2
