,artist_uri,related_uri,cluster
0,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:6TIzhGdCEWvUmD2AcfkqxV,1
1,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:22tLvDOcLTCcVKv20vGnLz,1
2,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,1
3,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0rsBua6WifrNUCqf5eH0zB,1
4,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:52VUCHofGwyT0U0YeJtbVn,1
5,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0czM0k1TPDdFhe1iR5Wo6A,1
6,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0kYQCl9jrY3P7JSjoeU6oU,1
7,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0Dqs3WdpNEF67fF59Zpovx,1
8,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0OGCuWQHe05y0vKglsFrmk,1
9,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0TbIdTQ2OjyjrBk9QqKluO,1
10,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0Up1wuU5FXNptLDobfTe3B,1
11,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:0WY5LVrfgYGK20ZZMjpda5,1
12,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:12RFLbQm8E3ESg1fBGeWp1,1
13,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:1tmdHpFy6GGUy51JkvCkbz,1
14,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:1tzBn4W2gc1Nl5YHYODMsq,1
15,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:299JuCsS20My9Z1gqPtVvo,1
16,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:2i6bcolPwEMLMzxENePoWp,1
17,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:2tyXv0OQR1akxN75vm2AmT,1
18,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:2xRp7yckEtohnwdRqOyzIc,1
19,spotify:artist:6elBfjueLpYmC1QwY7F3fd,spotify:artist:2GEkmaUHZEvNf95T94Qfej,1
0,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:6TIzhGdCEWvUmD2AcfkqxV,2
1,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0czM0k1TPDdFhe1iR5Wo6A,2
2,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0kYQCl9jrY3P7JSjoeU6oU,2
3,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0rsBua6WifrNUCqf5eH0zB,2
4,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0Dqs3WdpNEF67fF59Zpovx,2
5,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,2
6,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0OGCuWQHe05y0vKglsFrmk,2
7,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0TbIdTQ2OjyjrBk9QqKluO,2
8,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0Up1wuU5FXNptLDobfTe3B,2
9,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:0WY5LVrfgYGK20ZZMjpda5,2
10,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:12RFLbQm8E3ESg1fBGeWp1,2
11,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:1tmdHpFy6GGUy51JkvCkbz,2
12,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:1tzBn4W2gc1Nl5YHYODMsq,2
13,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:299JuCsS20My9Z1gqPtVvo,2
14,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:2i6bcolPwEMLMzxENePoWp,2
15,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:2tyXv0OQR1akxN75vm2AmT,2
16,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:2xRp7yckEtohnwdRqOyzIc,2
17,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:2GEkmaUHZEvNf95T94Qfej,2
18,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:386ed3aZcVTQnSsEu8wl67,2
19,spotify:artist:22tLvDOcLTCcVKv20vGnLz,spotify:artist:3cINb7MKI08sw4R5Zi8L6j,2
20,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:52VUCHofGwyT0U0YeJtbVn,2
21,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0czM0k1TPDdFhe1iR5Wo6A,2
22,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0kYQCl9jrY3P7JSjoeU6oU,2
23,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0rsBua6WifrNUCqf5eH0zB,2
24,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0Dqs3WdpNEF67fF59Zpovx,2
25,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0OGCuWQHe05y0vKglsFrmk,2
26,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0TbIdTQ2OjyjrBk9QqKluO,2
27,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0Up1wuU5FXNptLDobfTe3B,2
28,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:0WY5LVrfgYGK20ZZMjpda5,2
29,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:12RFLbQm8E3ESg1fBGeWp1,2
30,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:1tmdHpFy6GGUy51JkvCkbz,2
31,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:1tzBn4W2gc1Nl5YHYODMsq,2
32,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:22tLvDOcLTCcVKv20vGnLz,2
33,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:299JuCsS20My9Z1gqPtVvo,2
34,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:2i6bcolPwEMLMzxENePoWp,2
35,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:2tyXv0OQR1akxN75vm2AmT,2
36,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:2xRp7yckEtohnwdRqOyzIc,2
37,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:2GEkmaUHZEvNf95T94Qfej,2
38,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:386ed3aZcVTQnSsEu8wl67,2
39,spotify:artist:0LFzfKWZPdu0OritVDI2Pl,spotify:artist:3cINb7MKI08sw4R5Zi8L6j,2
40,spotify:artist:0rsBua6WifrNUCqf5eH0zB,spotify:artist:0czM0k1TPDdFhe1iR5Wo6A,2
41,spotify:artist:0rsBua6WifrNUCqf5eH0zB,spotify:artist:0kYQCl9jrY3P7JSjoeU6oU,2
