artist,gender
Kim_Yarbrough,female
Lalaine,female
Brett_Gurewitz,male
Dave_Flett,male
Julian_Taylor,male
Francine_Reed,female
Jewel,female
Kathy_Troccoli,female
Barbara_Pittman,female
Matt_White,male
Big_Ed,male
Jill_Johnson,female
The_Big_Bopper,male
Alphonso_Johnson,male
Billy_Thorpe,male
Tarsame_Singh_Saini,male
Saint_Vincent,male
Rappin'_Granny,female
Don_Cox,male
Boris_Lumbana,male
Tommy_Facenda,male
Blake_Judd,male
Tiffini_Hale,female
Haley_Georgia,female
Houston_Stackhouse,male
Dick_Curless,male
Angie_Fisher,female
Emmy_the_Great,female
Hugh_Laurie,male
Jocelyn_Brown,female
Rhema_Marvanne,female
Eddie_Eastman,male
Betty_Carter,female
Luba,female
Kneel_Cohn,male
Edie_Brickell,female
Sarah_McLeod,female
William_Mecum,male
Kipp_Lennon,male
Sunshine_Anderson,female
Stephanie,female
Mark_O'Connor,male
Whitney_Rose,female
Entrance,male
Lisa_Harriton,female
Alex_Lambert,male
Danielle_LoPresti,female
Gouri_Choudhury,female
Alice_Cohen,female
Ed_King,male
Randy_Meisner,male
Lacy_J._Dalton,female
Felicia_Barton,female
Marion_James,female
Jake_Eckert,male
Bob_Beckham,male
John_Leventhal,male
Kristy_Hanson,female
Carroll_Thompson,female
"Jimmy_""Duck""_Holmes",male
Eric_Clayton,male
Jessica_Jacobs,female
Nancy_Wilson,female
Sophie_Serafino,female
Kelly_Padrick,female
Kerri_Anderson,female
Hazel_Dickens,female
Starlito,male
Lady_Starlight,female
Wallen,female
Angelica_Rylin,female
Jess_Wright,female
Bekka_Bramlett,female
David_A._Stewart,male
Ryat,female
Sarbel,male
Lauren_Aquilina,female
