,0
r&b|nu_soul,1
harp,1
piano_pop,1
storytelling,1
traditional_jazz,1
soul-funk,1
rebetiko,1
art_music,1
international,1
flamenco_fusion,1
piano_pop_and_rock,1
opera_arias,1
british_rock,1
underground_rock,1
harmony_pop,1
toy_folk,1
traditional_tunes,1
soulful_house,1
euthadisco,1
cha-cha-cha,1
straight_edge,1
neoclassical_dark_wave,1
blues_rap,1
chamber_jazz,1
alternative_rock_garage_rock,1
acoustic_prog-rock,1
illbient,1
yiddish,1
psych_folk,1
theater_music,1
third_space,1
wonky_pop,1
thrashcore,1
painting,1
sevdalinka,1
acoustic_rock_folk_rock,1
christian_edm,1
holiday,1
topical_songwriting,1
instrumental_metal,1
moombahton,1
ethereal_wave,1
orchestral_jazz,1
garage_house,1
turkish_music,1
alt-pop,1
cadence-lypso,1
aleatoric,1
middle_of_the_road,1
nu-pop,1
west_coast_rap,1
catalan,1
folk_and_country,1
farce,1
modern_laika,1
slapstick,1
thrash,1
folk-noir,1
instrumental_hip_hop,1
blues_and_roots,1
moody,1
miami_bass,1
avant-garde_music,1
solo_acoustic,1
alt-metal,1
australian_country,1
zamba,1
medieval,1
lyrical_pop,1
indie_dance,1
celestial_metal,1
beat_pop,1
persian_pop,1
brass_rock,1
catalan_rumba,1
third-wave_ska,1
white_power_music,1
nueva_cancion_chilena,1
elevator_music,1
congolese_rumba,1
criolla,1
rock_improvisation,1
jazz_funk_rock,1
bass,1
rock-n-roll,1
western_european_art_music,1
french_varieties,1
polynesian_music,1
glam-punk,1
americana_music_folk_song,1
country_&_western,1
philly_soul,1
ballads_and_rock&roll,1
praise_&,1
pop_traditional_pop,1
musique_concréte,1
electronic_indie_pop,1
chamber_music,1
freestyling,1
cpop,1
blue_jump_blues_rock,1
chansonnier,1
hindustani_classical_music,1
incidental_music,1
kansas_city_jazz,1
east_bay_grease,1
motown,1
alternative_hip-hop,1
down_tempo,1
axé,1
zumba,1
loop_music,1
electro-grime,1
experimental_literature,1
punjabi_rap,1
opera_and_comic_opera,1
music-jewish_liturgy,1
island_contemporary,1
old_school_hip_hop,1
indo_jazz,1
word_play,1
chilean_music,1
waltz,1
crunkcore,1
grind_core,1
canterbury_scene,1
blues_jazz,1
french_contemporary_chanson,1
