,genre_list
0,chirstian
1,hypnagogic_pop
2,calypso
3,pop_rap
4,electronic_dance
5,acoustic_rock
6,spanish_guitar
7,native_american
8,son_montuno
9,television_judge
10,rock_improvisation
11,sketch
12,laïko
13,rumba
14,baroque_rock
15,anti_genre
16,nu_pop
17,urban_pop
18,new_age
19,barrelhouse
20,boogie
21,synth_pop
22,beat_pop
23,classic_female_blues
24,british_hip_hop
25,country_swing
26,art_song
27,speedcore
28,ritual
29,latin_hip_hop
30,indie_folk
31,deathgrind
32,eurodance
33,contemporary_r&b
34,skiffle
35,acid_house
36,sitcom_satire
37,latin_house
38,neoclassical_dark_wave
39,soft_grunge
40,christian_ac
41,romantic
42,celticana
43,barbershop
44,baião
45,folk_influenced_singer_songwriter
46,sports
47,street_artist
48,shock_rock
49,observational_comedy
50,cringe_comedy
51,close_harmony
52,hokum
53,physical_comedy
54,musical_pop
55,azerbaijani_jazz
56,childrens
57,brass_rock
58,womens
59,death_n_roll
60,rock_against_communism
61,anarcho_punk
62,old_time_american
63,cajun
64,album_alternative
65,turkish
66,gospel
67,midwest_hip_hop
68,australian_rock
69,jesus
70,contemporary_jewish_religious
71,irish_rock
72,psychedelic
73,surreal_humiddle_of_the_road
74,louisiana_folk
75,rock_soul
76,broken_beat
77,jazz_pop
78,electro_hop
79,youth_crew
80,dark_ambient
81,música_rioplatense
82,irish
83,goregrind
84,rock_standards
85,stoner_rock
86,sophisti_pop
87,brostep
88,cinematic_soul
89,joropo
90,documentary
91,traditional_gospel
92,vaudeville_blues
93,the_great_american_songbook
94,electronic_experimental
95,british_soul
96,funk_rock
97,japanese_pop
98,post_grunge
99,french
100,black_gospel
101,hip_pop
102,ethno_jass
103,alternative_rock
104,tropicália
105,songster
106,old_style_jazz
107,extreme_metal
108,piedmont_blues
109,folkloric
110,melodic_rock
111,jam_rock
112,son
113,psychedelic_rock
114,teen_pop
115,folk_pop
116,science
117,beat_poetry
118,fife_and_drum
119,trop_rock
120,british_blues
121,punk_rock
122,tuvan_throat_singing
123,pitbash
124,argentine
125,electro_funk
126,traditional
127,sludge_metal
128,hawaiianan
129,tonal
130,congolese_rumba
131,louisiana_blues
132,yodeling
133,thrash_metal
134,west_coast_rap
135,traditional_jazz
136,hawaiianan_falsetto
137,parody
138,vaudeville
139,go_go
140,goth_rock
141,alternative_r&b
142,jazz_mugham
143,country_rock
144,death_metal
145,brega
146,cinematic
147,folk_metal
148,pub_rock
149,club_dance
150,alternative_hip_hop
151,folk_alternative
152,guaracha
153,third_space
154,christian_pop
155,political_satire
156,music
157,ambient
158,word_play
159,cuban_son
160,christian_r&b
161,doomsday_metal
162,acid_rap
163,nu_metal
164,american
165,khyal
166,ghazal
167,jazz_funk_bluegrass_pop
168,hardcore_rap
169,bluegrass
170,freak_folk
171,new_mexico
172,comedy_hip_hop
173,hauntology
174,techno_pop
175,melodic
176,bebop
177,hip_house
178,pacific_northwest_hip_hop
179,rock_in_opposition
180,punk_jazz
181,indo_jazz
182,garage_rock_revival
183,milonga
184,bossa_nova_samba
185,ventriloquism
186,boogie_woogie
187,traditional_folk
188,dirty_gospel
189,maracatu
190,chanson_réaliste
191,americana
192,dirty_rap
193,progressive_bluegrass
194,hawaiian
195,covering
196,soca
197,filk
198,r&b
199,tropical_house
200,punk_funk
201,indi_pop
202,persian_classical
203,mainstream
204,street_punk
205,popcomédie_musicale
206,ragtime
207,hardstyle
208,sarcasm
209,afro
210,country
211,funky_house
212,punk_cabaret
213,post_disco
214,ninja_core
215,contemporary_country
216,vọng_cổ
217,black_comedy
218,islamic
219,melodrama
220,anti_folk
221,turntablism
222,rave
223,pop_folk
224,cuplé
225,detroit_soul
226,blues_soul
227,show_tunes
228,swamp_rock
229,soundcloud_rap
230,acapella
231,reggae_fusion
