,genre_list
0,Country-soul
1,Zamba_(music)
2,Bakersfield_sound
3,Urban_culture
4,Two-tone_(music_genre)
5,Meditation_music
6,Cowpunk
7,Ameripolitan_music
8,Vocalist
9,Contemporary_music
10,Traditional_Country_music
11,Hindustani_classical_music
12,Exotica
13,Banda_music
14,Nu_jazz
15,Futurepop
16,Powerpop
17,Christian_adult_contemporary
18,Music_hall
19,Torch_song
20,Easy_listening_music
21,Surf_Rock
22,Screwed_&amp;_Chopped
23,Russian_chanson
24,Western_Swing
25,Reggae
26,Bedroom_pop
27,Teen_pop
28,Alt-rock
29,Boogie_rock
30,Dirty_rap
31,Anarcho_punk
32,Post-punk
33,Trance_music
34,Motown_music
35,Electronics_in_rock_music
36,Traditional_pop_music
37,Digital_hardcore
38,Music_of_New_Orleans
39,Eurodance
40,Orchestral_pop
41,Indietronica
42,Music_loop
43,Sound_Art
44,Deathgrind
45,Romantic_Music
46,Dirty_blues
47,Space_music
48,Indie_punk
49,Instrumental_music
50,Neoclassical_dark_wave
51,Swedish_folk_music
52,Southern_Metal
53,Glitch_music
54,Orchestral_jazz
55,Folk_blues
56,New_Acoustic_Music
57,Avant-garde_jazz
58,Shoegazing
59,Bhangramuffin
60,Alternative_hip-hop
61,East_Coast_hip_hop
62,Synth-punk
63,Greek_music
64,Cuban_Son
65,Trap_music
66,Fife_and_drum
67,Christian_meditation_music
68,Popular_Music
69,Acoustic_rock
70,Video_game_music
71,Golden_age_hip_hop
72,Process_music
73,Country_pop
74,Neo_soul
75,Techno-pop
76,Old_school_hip_hop
77,Opera_music
78,Anti-folk
79,Jewish_rock
80,Mákina
81,Spirituality
82,Mexican_pop_music
83,Texas_country
84,Show_tune
85,Expressionist_music
86,Tejano_(music)
87,Art_pop
88,St._Louis_blues_(music)
89,Sentimental_ballad
90,R&amp;B/Dance_music_(page_does_not_exist)
91,Death-doom
92,Musical_improvisation
93,Progressive_folk
94,Avant-garde_rock
95,Rock_n_roll
96,Music_of_Cuba
97,Music_of_Bengal
98,Honky_tonk
99,Sound_collage
100,Musica_Popular_Brasileira
101,Turntablism
102,Contemporary_worship_music
103,Film_Score
104,Christian_(music)
105,Southern_soul
106,Lo-Fi-DIY-Indie-Pop-Core
107,Hong_Kong_English_pop
108,D-beat
109,Punk_rock
110,A_cappella
111,Fiddle
112,Organ_trio
113,Finnish_rock
114,Pub_rock_(Australia)
115,Power_pop
116,Neofolk
117,Psychedelic_funk
118,"""RnB"""
119,Vọng_cổ
120,Alternative_pop
121,NWOBHM
122,Soul_(music)
123,Space_age_pop
124,Melodic_Rock
125,Vaudevillian
126,Smooth_jazz
127,Essay
128,Progressive_Pop
129,Chamamé
130,Psychedelic_Pop
131,Emo_rap
132,Ska
133,Pop_(music)
134,Gangsta_Rap
135,Nueva_ola
136,Poprock
137,Emo
138,Folk-punk
139,Baroque_music
140,Cool_jazz
141,European_classical_music
142,Roots_rock
143,Groove_metal
144,Madchester
145,Dance_Music
146,Just_intonation
147,Rhythm_and_blues
148,Funk_metal
149,Cajun_music
150,Aleatoric_music
151,Progressive_Pub_(page_does_not_exist)
152,Sea_shanties
153,Progressive_house
154,Pacific_Northwest_hip_hop
155,Cumbia
156,Electro_pop
157,New_blues
158,Avant_garde_music
159,Holiday_(music)
160,Samba_rock
161,Christian_Hip_Hop
162,Canterbury_scene
163,Freak_folk
164,Hi-NRG
165,Martial_industrial
166,Heavy_metal_music
167,Folk-rock
168,Industrial_hip_hop
169,Vallenato
170,Bubblegum_music
171,Hip_hop_music_in_the_Pacific_Northwest
172,Contemporary_Christian_music
173,Cajun
174,Merengue_music
175,Underground_Hip_Hop
176,Hip-pop
177,Indie_Rock
178,Psychobilly
179,Album-oriented_rock
180,Motown
181,Atonal_music
182,Jewish_rock_music
183,Canadian_folk_music
184,Melodic_hardcore
185,Showtunes
186,Western_movies
187,Jazz_fusion
188,Bluegrass_music
189,Mariachi
190,Bambuco
191,Progg
192,Opera_Arias_(page_does_not_exist)
193,Soft_Rock
194,Space_rock
195,Rock_Music
196,Dirty_Gospel_(page_does_not_exist)
197,Singer–songwriter
198,Performance_Art
199,Asian_Underground
200,Post-bop
201,Afro-Cuban_jazz
202,New_Orleans_rhythm_&amp;_blues
203,Doo-wop
204,Avant-garde_music
205,Obscuro
206,Comic_opera
207,Video_Game_Music
208,Afrobeat
209,Rap_music
210,Livetronica
211,Yass_(music)
212,Waltz
213,Texas_country_music
214,British_dance_band
215,Gothic_country
216,Avant-garde_progressive_rock
