,genre_list
0,waltz
1,dream_pop
2,childrens_songs
3,religious
4,patriotic
5,goth
6,shock_rock
7,andean_music
8,european_free_jazz
9,ska-core
10,drinking_songs
11,zouk
12,payada
13,electropunk
14,indie_rock
15,indie
16,orchestral_jazz
17,protest_songs
18,free_music
19,popular_song
20,musique_concrete
21,folk-blues
22,black_music
23,sophisti-pop
24,samba
25,bounce_music
26,bambuco
27,jazz_funk
28,alt_classic
29,african
30,grunge
31,hymnal
32,livetronica
33,urban_contemporary
34,cadence-lypso
35,traditional_folk_music
36,electronic_rock
37,mainstream_jazz
38,bluegrass_music
39,piedmont_blues
40,hamd
41,punk
42,tyler_cassidy
43,mathcore
44,electro-pop_dance-rock
45,indie_music
46,contemporary_worship
47,heavy_rock
48,british
49,christian_rap
50,teatro_canzone
51,new_mexico_music
52,celtic_folk
53,pop_noir
54,roots_reggae
55,polynesian_music
56,death_rap
57,abakuá_music
58,afrobeats
59,minimal_wave
60,bakersfield_sound
61,contemporary_folk_music
62,classical
63,show_tunes_jazz
64,acid_rock
65,vispop
66,european_art_music
67,crossover_music
68,disco_electronica
69,third_stream
70,improvised
71,southern_gothic
72,sociopolitical
73,childrens
74,outlaw_country
75,symphonic_black_metal
76,jazz
77,brass_rock
78,avant_garde
79,vals
80,electronic_dance
81,neue_deutsche_welle
82,music_of_hawaii
83,free_funk
84,neoclassical
85,protest_pop
86,folk_and_country
87,vocal_trance
88,gypsy_jazz
89,irish
90,international
91,sketch_comedy
92,soukous
93,tex-mex
94,classical_and_folk
95,western_music
96,adult_alternative_pop
97,outsider
98,adult_contemporary_pop
99,house_music
100,outsider_music
101,north_mississippi_hill_country_blues
102,old_time_american
103,jug_band
104,compas
105,go-go
106,indo_jazz
107,light_opera
108,sevdalinka
109,swamp_blues
110,cantopop
111,organ_trio
112,urban_blues
113,christian_music
114,pop-rock-electro
115,contemporary_christian_music
116,indie-rock
117,americana_folk_alt_country_garage_rock
118,post_grunge
119,surf_music
120,country_soul
121,chill-out
122,rock_against_communism
123,contemporary_folk
124,rumba
125,worship_music
126,indian_pop
127,rocksteady
128,novelty_songs
129,dubstep
130,hip–hop
131,psychedelic_folk
132,protest_music
133,old-style_jazz
134,country_comedy
135,childrens_music
136,santería_music
137,cinematic|pop|trailer_music
138,gothic_rock
139,salsa
140,western_swing
141,canzone_napoletana
142,house
143,deathrock
144,dirty_blues
145,cedm
146,big_band
147,synthwave
148,performance_poetry
149,latin-jazz_pop
150,electric_blues
151,miami_bass
152,christian_country
153,old_skool
154,neo-classical
155,musicals
156,honky_tonk
157,showtunes
158,black_gospel
159,acoustic_rock
160,celtic_rock
161,hip-pop
162,disco
163,folk
164,forró
165,garage_rock_revival
166,disco-punk
167,uk_funky
