label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
pop,2617,1321.0,1294.0,0.5047764615972488,0.49445930454719145,73.0,1.0,3.065391969407266
rock,1765,356.0,1409.0,0.201699716713881,0.798300283286119,13.0,1.0,3.373371104815864
r_and_b,1647,760.0,887.0,0.461445051608986,0.5385549483910139,13.0,1.0,3.585913782635094
country,1613,504.0,1108.0,0.3124612523248605,0.6869187848729076,12.0,1.0,2.358560794044665
hip_hop,1114,187.0,927.0,0.16786355475763015,0.8321364452423698,73.0,1.0,2.538599640933573
folk,1046,427.0,616.0,0.40822179732313574,0.5889101338432122,12.0,1.0,3.3844678811121764
soul,1023,532.0,490.0,0.520039100684262,0.4789833822091887,13.0,1.0,3.8943248532289627
jazz,962,392.0,570.0,0.4074844074844075,0.5925155925155925,12.0,1.0,3.415800415800416
alternative_rock,937,199.0,737.0,0.21237993596584845,0.7865528281750267,15.0,1.0,4.053418803418803
blues,859,191.0,668.0,0.22235157159487776,0.7776484284051223,12.0,1.0,3.6006984866123397
pop_rock,661,231.0,426.0,0.3494704992435703,0.6444780635400907,14.0,1.0,3.8386605783866057
hard_rock,616,42.0,574.0,0.06818181818181818,0.9318181818181818,73.0,1.0,4.150974025974026
indie_rock,495,134.0,361.0,0.27070707070707073,0.7292929292929293,73.0,1.0,3.6303030303030304
heavy_metal,453,34.0,419.0,0.07505518763796909,0.9249448123620309,15.0,1.0,4.0905077262693155
folk_rock,403,114.0,289.0,0.28287841191067,0.71712158808933,14.0,1.0,4.0
punk_rock,369,67.0,302.0,0.18157181571815717,0.8184281842818428,14.0,1.0,3.989159891598916
gospel,346,162.0,184.0,0.4682080924855491,0.5317919075144508,12.0,1.0,3.9364161849710984
blues_rock,335,31.0,303.0,0.09253731343283582,0.9044776119402985,12.0,1.0,4.227544910179641
dance,307,204.0,103.0,0.6644951140065146,0.3355048859934853,73.0,1.0,4.2052117263843645
rock_and_roll,299,29.0,270.0,0.09698996655518395,0.903010033444816,12.0,1.0,3.698996655518395
funk,298,80.0,218.0,0.2684563758389262,0.7315436241610739,73.0,1.0,5.261744966442953
new_wave,298,73.0,225.0,0.24496644295302014,0.7550335570469798,73.0,1.0,4.523489932885906
americana,270,101.0,169.0,0.37407407407407406,0.6259259259259259,12.0,1.0,4.133333333333334
indie_pop,238,141.0,97.0,0.592436974789916,0.40756302521008403,73.0,1.0,3.6512605042016806
progressive_rock,227,9.0,218.0,0.039647577092511016,0.960352422907489,73.0,1.0,4.453744493392071
electronic,224,90.0,134.0,0.4017857142857143,0.5982142857142857,15.0,1.0,4.25
synth_pop,204,73.0,131.0,0.35784313725490197,0.6421568627450981,73.0,1.0,4.823529411764706
electronica,188,85.0,103.0,0.4521276595744681,0.5478723404255319,15.0,1.0,4.430851063829787
dance_pop,183,133.0,50.0,0.726775956284153,0.273224043715847,9.0,1.0,3.7540983606557377
psychedelic_rock,171,17.0,154.0,0.09941520467836257,0.9005847953216374,11.0,2.0,4.690058479532164
soft_rock,171,33.0,138.0,0.19298245614035087,0.8070175438596491,73.0,1.0,4.47953216374269
country_rock,164,23.0,141.0,0.1402439024390244,0.8597560975609756,11.0,1.0,4.378048780487805
classical,162,34.0,128.0,0.20987654320987653,0.7901234567901234,73.0,1.0,3.9814814814814814
post_punk,160,22.0,138.0,0.1375,0.8625,15.0,1.0,4.475
electric_blues,156,15.0,141.0,0.09615384615384616,0.9038461538461539,9.0,1.0,2.532051282051282
bluegrass,153,30.0,123.0,0.19607843137254902,0.803921568627451,12.0,1.0,3.7712418300653594
experimental,152,29.0,123.0,0.19078947368421054,0.8092105263157895,73.0,1.0,5.059210526315789
alternative_metal,148,14.0,134.0,0.0945945945945946,0.9054054054054054,12.0,1.0,4.95945945945946
alternative_country,147,46.0,101.0,0.3129251700680272,0.6870748299319728,10.0,1.0,3.7687074829931975
disco,147,88.0,59.0,0.5986394557823129,0.4013605442176871,73.0,1.0,5.061224489795919
acoustic,145,44.0,101.0,0.30344827586206896,0.696551724137931,11.0,1.0,3.7724137931034485
house,143,94.0,49.0,0.6573426573426573,0.34265734265734266,14.0,1.0,4.195804195804196
hardcore_punk,135,5.0,130.0,0.037037037037037035,0.9629629629629629,11.0,1.0,4.45925925925926
reggae,133,32.0,101.0,0.24060150375939848,0.7593984962406015,73.0,1.0,4.81203007518797
world,129,40.0,89.0,0.31007751937984496,0.689922480620155,11.0,1.0,4.2015503875969
rockabilly,129,10.0,119.0,0.07751937984496124,0.9224806201550387,14.0,1.0,4.062015503875969
electro_pop,123,83.0,40.0,0.6747967479674797,0.3252032520325203,10.0,1.0,3.910569105691057
