artist,gender
Billy_Daniels,male
Peter_Gifford,male
Blanca,female
Whitfield_Crane,male
Sabrina_Johnston,female
Sofiane,male
Jon_Gutwillig,male
Blind_Blake,male
Ace_Hood,male
Nils_Lofgren,male
Susan_Justice,female
Livy_Jeanne,female
Michael_Leviton,male
Kelly_Joe_Phelps,male
Sara_Groves,female
Piney_Gir,female
Samantha_Fish,female
Mickey_Jack_Cones,male
Aaron_Turner,male
Claude_King,male
Dean_Menta,male
Ruth_Pointer,female
Holly_Near,female
Grace_Knight,female
Lene_Lovich,female
Mikel_Erentxun,male
Elmo_Shropshire,male
Linda_Eder,female
Leah_Haywood,female
Alice_Smith,female
Jewell,female
Silkk_the_Shocker,male
Bryana_Salaz,female
Carolyn_Dennis,female
Glenn_Schwartz,male
Damian_Cowell,male
Andrew_Gold,male
Phil_Lynott,male
Twista,male
Sonny_Black,male
Guitar_Gabriel,male
Sharon_Redd,female
Kirstin_Maldonado,female
Natalie_Merchant,female
Elliot_Evans,male
Amy_Studt,female
William_Hung,male
Howard_E._Scott,male
J._B._Lenoir,male
Kenza_Farah,female
Bill_Madden,male
Jackson_Rohm,male
Róisín_O,female
Sadie_Jemmett,female
Girli,female
Vixen_Romeo,female
Jim_McGorman,male
Ryan_Leslie,male
Pearly_Black,female
Deborah_Cooper,female
Emm_Gryner,female
Paul_Sanchez,male
Mac_McCaughan,male
Charlie_Byrd,male
Jim_White,male
Paco_Serrano,male
Marques_Houston,male
Klô_Pelgag,female
Janice_McClain,female
Emily_Bindiger,female
Buck_Trent,male
Michael_Gulezian,male
Doc_Watson,male
Roscoe_Dash,male
I_Am_Harlequin,female
The_Rocket_Summer,male
Julie_Miller,female
