artist,genrelist,genrelist_length
Trish_Thuy_Trang,"['Pop_music', 'Techno', 'Dance_music']",3
Dougie_Young,['Country_music'],1
Bruce_Kulick,"['Hard_rock', 'Heavy_metal_music']",2
Steve_Vawamas,"['Neoclassical_metal', 'Hard_rock', 'Heavy_metal_music']",3
Will_Schwartz,"['Indie_pop', 'Indie_rock', 'Alt-Rock', 'Electronic_dance_music']",4
Dave_Riley,['Punk_rock'],1
Sadako_Pointer,"['R&amp;B', 'Soul_music', 'Pop_music', 'Dance_music', 'Rock_music', 'Jazz_music', 'Country_music']",7
T'Melle,"['Contemporary_R&amp;B', 'Hip-hop_music', 'Pop_music']",3
Ange_Hardy,['English_folk_music'],1
Scatman_John,"['Pop_music', 'Eurodance', 'Jazz_music']",3
Cindy_Gomez,"['Electronic_dance_music', 'Adult_contemporary', 'Latin_pop']",3
David_Barbe,"['Rock_music', 'Punk_rock']",2
Gene_Summers,"['Rock_and_roll', 'Rockabilly']",2
Jake_Bugg,"['Indie_rock', 'Indie_folk', 'Blues', 'Blues_rock', 'Country_rock', 'Americana_(music)', 'British_blues']",7
Tawatha_Agee,"['R&amp;B', 'Soul_music']",2
Diamond_Rings,"['Pop_music', 'Indie_pop', 'Electronic_music', 'Synthpop', 'Indie_rock']",5
Bobby_Lord,['Country_music'],1
Scott_B._Sympathy,"['Indie_rock', 'Alternative_country']",2
Louise_Setara,"['Popular_music', 'Soul_music']",2
Rosko,"['Electronic_music', 'Folk_music', 'House_music']",3
Devin_Bronson,"['Alternative_rock', 'Indie_rock', 'Pop_punk', 'Pop_rock', 'Power_pop', 'Acoustic_music']",6
Chedda_Da_Connect,"['Hip_hop_music', 'Trap_music_(hip_hop)']",2
L._C._Ulmer,['Delta_blues'],1
Keshia_Chanté,"['Contemporary_R&amp;B', 'Hip_hop_music', 'Soul_music']",3
Chuck_Brodsky,"['Folk_music', 'Singer-songwriter', 'Americana_(music)']",3
Jack_Grisham,"['Punk_rock', 'Hardcore_punk', 'Anarcho-punk', 'Deathrock', 'Horror_punk']",5
Marc_Beeson,['Country_music'],1
Danny_Brooks,"['Blues', 'Gospel_music']",2
Adam_Duce,"['Groove_metal', 'Thrash_metal', 'Nu_metal']",3
George_Fisher,"['Death_metal', 'Melodic_death_metal']",2
Donnie_Van_Zant,"['Southern_rock', 'Country_music']",2
Jim_Allchin,"['Blues_rock', 'Blues']",2
Kutt_Calhoun,['Hip_hop_music'],1
Manuel_Galbán,"['Son_cubano', 'Bolero', 'Guajira_(music)']",3
Eileen_Rose,"['Americana_(music)', 'Rock_music', 'Indie_music', 'American_folk_music', 'Folk_music', 'Alternative_country', 'Classic_country', 'Honky_tonk']",8
Freddie_Foxxx,['Hip_hop_music'],1
Amanda_Richards,"['Folk_music', 'Country_music', 'Rock_music', 'Blues_music']",4
Mélanie_Pain,['New_wave_music'],1
Zane_Williams,['Country_music'],1
Bianca_Ryan,"['Pop_music', 'Neo_soul', 'Contemporary_R&amp;B']",3
Peter_Skellern,"['Easy_listening', 'Traditional_popular_music']",2
Michèle_Arnaud,['Chanson'],1
Kiley_Dean,"['Contemporary_R&amp;B', 'Pop_music']",2
Judge_Dread,"['Ska', 'Reggae', 'Rocksteady', 'Comedy_music']",4
Steve_Balsamo,"['Folk_rock', 'Pop_music']",2
Helen_Terry,"['Pop_music', 'Rock_music']",2
Ron_Sexsmith,['Folk_music'],1
King_Lizzard,"['Psychedelic_rock', 'Experimental_rock', 'Art_rock', 'Symphonic_rock', 'Hard_rock', 'Classical_music']",6
Mary_Hansen,"['Experimental_pop', 'Indie_pop', 'Experimental_rock', 'Psychedelic_rock']",4
Charlie_Green,['Jazz'],1
Bobby_Austin,['Country_music'],1
