artist,gender
Pablo_Holman,male
Bobby_Edwards,male
La_Palabra,male
Sherrick,male
Allen_Collins,male
Asher_Roth,male
Derrick_Tribbett,male
Mícheál_Ó_Domhnaill,male
David_Judson_Clemmons,male
Al_B._Romano,male
Jean-Louis_Murat,male
Christina_Milian,female
Frankie_DeCarlos,male
Garland_Green,male
Lee_Soo-jung,female
Gwen_Sebastian,female
Claude_Gray,male
James_Blake,male
Anna_Margaret_Collins,female
Kevin_Raleigh,male
Lawnie_Wallace,female
George_Barnes,male
Marc_Cohn,male
Angelo_Earl,male
Kathryn_Williams,female
Cam'ron,male
Fredrika_Stahl,female
Jay_Farrar,male
Thom_Bresh,male
Morgan_Wallen,male
Kelsea_Ballerini,female
Laura_Branigan,female
O.Y.G_Redrum_781,male
Camille_O'Sullivan,female
Albert_Verrecchia,male
Jeremy_Oxley,male
Ivan_Julian,male
Tommy_Shane_Steiner,male
Danny_Boy,male
Chris_Smither,male
Maria_Aragon,female
Aimee_Mann,female
Joon_Park,male
Jack_Ladder,male
Jakob_Hellman,male
Jennifer_O'Connor,female
Judge_Dread,male
Johnny_Marr,male
Berni_Flint,male
Carlo_Carfagna,male
John_McFee,male
Kendji_Girac,male
Rachael_Yamagata,female
Garou,male
Coro,male
Susan_Crowe,female
Maggie_Rogers,female
Kenny_Vasoli,male
K-Solo,male
Moxie_Raia,female
Byron_Cage,male
Christian_Wargo,male
Billy_Sheehan,male
Greg_Russell_and_Ciaran_Algar,male
Billy_Childish,male
Mandy_Lauderdale,female
Keith_Urban,male
Victory_Tischler-Blue,female
Eric_Gillette,male
Barney_Greenway,male
Liam_Fray,male
Steve_Hart,male
Joanna_Bolme,female
Amanda_Wilkinson,female
Armistead_Burwell_Smith_IV,male
Al_Atkins,male
Jamie_Foxx,male
Ruth-Ann_Boyle,female
Darine,female
Lauren_Passarelli,female
Swizz_Beatz,male
Jani_Stefanovic,male
Terry_Dene,male
Vicki_Anderson,female
Pauline_Ester,female
Ida_Sand,female
Emma_Bunton,female
Mateo_Camargo,male
Jakob_Dylan,male
Katie_White,female
Børns,male
Lea_Michele,female
Randy_Crouch,male
Lily_and_Maria,female
Victoria_Shaw,female
Dinah_Cancer,female
Christian_Lasegue,male
Noite_Ilustrada,male
Michael_Monarch,male
Matt_Keating,male
Naomi_Phoenix,female
Jennifer_Charles,female
Don_Moen,male
John_Foxx,male
Lily_Frost,female
Faith_Hill,female
Inspectah_Deck,male
Liz_McClarnon,female
John_Bunzow,male
Droop-E,male
Lil'_O,male
Melanie_Safka,female
Justin_Guarini,male
Steve_Archer,male
Dion_DiMucci,male
Phanatik,male
K.d._lang,female
Iame,male
Jolan,male
Dave_Pomeroy,male
David_Broza,male
Martha_Copeland,female
David_Tronzo,male
Tara_Blaise,female
Chris_Broderick,male
Jennifer_Peña,female
DJ_Quik,male
Johnny_Colla,male
Anna_Maria_Friman,female
Rod_Black,male
John_Wheeler,male
Yuri_Naumov,male
Christopher_Dallman,male
Sa-Fire,female
Andrew_Montgomery,male
William_Harris,male
Jonnie_Barnett,male
T._Graham_Brown,male
Lester_Chambers,male
Jesse_Boykins_III,male
Maurice_Chevalier,male
Bobby_Kimball,male
Lydia_Loveless,female
Hoyt_Axton,male
Clint_Black,male
Mikey_Wax,male
Bing_Crosby,male
Jazze_Pha,male
David_A._Stewart,male
Chris_Crippin,male
J.P._Pennington,male
Chris_Braide,male
Damon_Albarn,male
Alecia_Nugent,female
Tania_Kernaghan,female
Eli_Cook,male
Dre_Babinski,female
Álvaro_Urquijo,male
Gene_Kelton,male
Monica_Trapaga,female
Dave_Askren,male
Fiona,female
Jem_Targal,male
Brenton_Wood,male
Zach_Ashton,male
Danielle_Ate_the_Sandwich,female
Dominique_Leone,male
Varetta_Dillard,female
Joe_Gittleman,male
Florent_Vollant,male
Devendra_Banhart,male
Marshall_Hall,male
Chevy_Woods,male
Ray_Sanders,male
Dan_Worton,male
Fausto_Fawcett,male
Nitin_Sawhney,male
April_March,female
David_Lindgren,male
Lester_Flatt,male
La_the_Darkman,male
Emii,female
Balsac_the_Jaws_of_Death,male
Kiesza,female
David_Immerglück,male
Edna_Hicks,female
Michelle_Shocked,female
Reece_Mastin,male
"Michael_""J""_Horn",male
Furry_Lewis,male
Leela_Gilday,female
Otis_Redding,male
John_Christ,male
Julia_Kedhammar,female
Ashley_Taylor_Dawson,male
Sawyer_Fredericks,male
Claudio_Capéo,male
Seth_Ennis,male
Tony_Orlando,male
Max_Bemis,male
Pat_Donohue,male
Ida_Maria,female
Denison_Witmer,male
