artist,gender
Trish_Thuy_Trang,female
Dougie_Young,male
Bruce_Kulick,male
Steve_Vawamas,male
Will_Schwartz,male
Dave_Riley,male
Sadako_Pointer,female
T'Melle,female
Ange_Hardy,female
Scatman_John,male
Cindy_Gomez,female
David_Barbe,male
Gene_Summers,male
Jake_Bugg,male
Tawatha_Agee,female
Diamond_Rings,male
Bobby_Lord,male
Scott_B._Sympathy,male
Louise_Setara,female
Rosko,male
Devin_Bronson,male
Chedda_Da_Connect,male
L._C._Ulmer,male
Keshia_Chanté,female
Chuck_Brodsky,male
Jack_Grisham,male
Marc_Beeson,male
Danny_Brooks,male
Adam_Duce,male
George_Fisher,male
Donnie_Van_Zant,male
Jim_Allchin,male
Kutt_Calhoun,male
Manuel_Galbán,male
Eileen_Rose,female
Freddie_Foxxx,male
Amanda_Richards,female
Mélanie_Pain,female
Zane_Williams,male
Bianca_Ryan,female
Peter_Skellern,male
Michèle_Arnaud,female
Kiley_Dean,female
Judge_Dread,male
Steve_Balsamo,male
Helen_Terry,female
Ron_Sexsmith,male
King_Lizzard,male
Mary_Hansen,female
Charlie_Green,male
Bobby_Austin,male
Hayley_Legg,female
Tracey_Ullman,female
David_Fiuczynski,male
Gary_Holt,male
Marc_Almond,male
Christine_Ohlman,female
Laurie_Berkner,female
Miles_Jaye,male
Daniel_Powter,male
Dick_Wagner,male
Danny_Cedrone,male
Hell_Razah,male
Larry_Sparks,male
Joe_Gooch,male
Kate_Alexa,female
Chris_Rainbow,male
Rebekah_Higgs,female
Mike_Farris,male
Magic_Slim,male
Bernice_Edwards,female
Chaka_Khan,female
Evan_Taubenfeld,male
Jerry_Lee_Lewis,male
Brandi_Carlile,female
Don_Elliott,male
Bruce_Sudano,male
Aled_Jones,male
James_Bay,male
Tommy_Brown,male
Young_Lay,male
Erin_Martin,female
Johnny_Winter,male
Sting,male
Bonnie_McKee,female
Pascal_of_Bollywood,male
Brendan_James,male
Shannon_Leto,male
James_LoMenzo,male
Émilie_Simon,female
Jennifer_Arroyo,female
Jimmy_Earl,male
Ian_McNabb,male
Rod_MacDonald,male
Durval_Lélys,male
Francesca_Chiara,female
Russell_Thompkins_Jr.,male
Suzanna_Choffel,female
Betty_Who,female
Keke_Wyatt,female
Tom_Langford,male
Megan_Mullins,female
Eagle-Eye_Cherry,male
Rebecca_Campbell,female
Dave_Edmunds,male
Adolph_Hofner,male
Mr._Marcelo,male
Deni_Hines,female
Isaiah_Rashad,male
Kathy_Troccoli,female
Ruth_Radelet,female
Cindy_Alexander,female
Richard_Ashcroft,male
Alex_Weir,male
Smoky_Babe,male
Michael_Messer,male
Laura_Jansen,female
Amedeo_Minghi,male
Jon_Buller,male
Jimmie_Vaughan,male
Reba_McEntire,female
Kevin_Denney,male
Gin_Wigmore,female
Propaganda,male
Jessica_Taylor,female
Ace_Frehley,male
Carli_Tornehave,male
Baxter_Dury,male
Andrew_Freeman,male
Katie_Rox,female
The_Graaf_Sisters,female
Donna_De_Lory,female
T_Lopez,female
Jason_Donovan,male
Teenie_Hodges,male
