,artist,gender,category,retrieved,genre
0,12 Gauge,male,African-American_male_rappers,12 Gauge,['miami bass']
1,1987,male,Swedish_male_singers,Cartridge 1987,['retro electro']
2,2 Chainz,male,African-American_male_rappers,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3,2 Pistols,male,African-American_male_rappers,2 Pistols,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
4,21 Savage,male,African-American_male_rappers,21 Savage,"['atl hip hop', 'rap', 'trap']"
5,40 Cal.,male,African-American_male_rappers,40 Cal.,"['harlem hip hop', 'nyc rap']"
6,40 Glocc,male,African-American_male_rappers,40 Glocc,[]
7,50 Cent,male,African-American_male_rappers,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
8,6 Tre G,male,American_male_rappers,6 Tre Gangsta,[]
9,60 Second Assassin,male,African-American_male_rappers,60 Second Assassin,['wu fam']
10,6LACK,male,African-American_male_rappers,6LACK,"['alternative r&b', 'atl hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
11,88-Keys,male,African-American_male_rappers,88-Keys,['alternative hip hop']
12,9th Prince,male,African-American_male_rappers,9th Prince,['wu fam']
13,9th Wonder,male,African-American_male_rappers,9th Wonder,"['alternative hip hop', 'hip hop', 'nc hip hop']"
14,A Boogie wit da Hoodie,male,African-American_male_rappers,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
15,A Girl Called Eddy,female,American_female_singer-songwriters,A Girl Called Eddy,[]
16,A'Me Lorain,female,American_female_singers,none,none
17,A+,male,African-American_male_rappers,YoungBoy Never Broke Again,"['baton rouge rap', 'trap']"
18,A-L-X,male,Scottish_male_singers,A L E X,"['chillhop', 'lo-fi beats']"
19,A-Plus,male,African-American_male_rappers,Dan + Shay,"['contemporary country', 'pop']"
20,A. A. Bondy,male,American_country_singers,A.A. Bondy,"['alternative country', 'chamber pop', 'indie folk', 'new americana', 'stomp and holler']"
21,A. C. Newman,male,Canadian_male_singers,Máire Ní Chathasaigh & Chris Newman,[]
22,A. J. Croce,male,American_male_singer-songwriters,Jim & Ingrid Croce,[]
23,A. J. Ghent,male,American_male_guitarists,AJ Ghent [ j-ent ],['steel guitar']
24,A. J. Masters,male,American_country_singers,Dominika Jurczuk Gondek & Masters of Traditional Catholic Music,[]
25,A. L. Lloyd,male,English_male_singers,Andrew Lloyd Webber,"['broadway', 'show tunes', 'west end']"
26,A. P. Carter,male,American_country_singers,Phillip Carter & S.O.V,[]
27,A. P. Thompson,male,American_male_guitarists,Patrick A. Thompson,[]
28,A.B. Quintanilla,male,American_male_guitarists,A.B. Quintanilla III Y Los Kumbia Kings,[]
29,A.C. Marias,female,British_female_singers,A.C. Marias,['uk post-punk']
30,A.D.O.R.,male,American_male_rappers,A.D.O.R.,[]
31,A.J. Trauth,male,American_male_guitarists,none,none
32,"A.L. ""Doodle"" Owens",male,American_country_singers,none,none
33,AJ McLean,male,American_male_pop_singers,AJ McLean,[]
34,AJ Michalka,female,American_female_guitarists,AJ Michalka,[]
35,AM,male,American_male_guitarists,Aminé,"['hip hop', 'pop rap', 'portland hip hop', 'rap']"
36,AMG,male,African-American_male_rappers,AMG,[]
37,AR-Ab,male,African-American_male_rappers,AR-AB,"['deep southern trap', 'philly rap']"
38,ASAP Ferg,male,African-American_male_rappers,none,none
39,ASAP Nast,male,African-American_male_rappers,none,none
40,ASAP Rocky,male,African-American_male_rappers,Seth Narley feat. ASAP Rocky,[]
41,ASAP Twelvyy,male,African-American_male_rappers,none,none
42,ASAP TyY,male,African-American_male_rappers,none,none
43,AZ,male,African-American_male_rappers,Los Angeles Azules,"['grupera', 'gruperas inmortales', 'nu-cumbia', 'regional mexican']"
44,Aaliyah,female,African-American_female_singers,Aaliyah,"['dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
45,Aaradhna,female,New_Zealand_female_pop_singers,Aaradhna,"['jawaiian', 'nz pop', 'polynesian pop']"
46,Aaron Barker,male,American_country_singers,Aaron Barker,[]
47,Aaron Barrett,male,American_male_guitarists,Aaron Barrett,[]
48,Aaron Bedard,male,American_male_singers,Aaron Bedard,[]
49,Aaron Benward,male,American_country_singers,Aaron Benward,[]
50,Aaron Bertram,male,American_male_singers,none,none
51,Aaron Bruno,male,American_male_singers,Aaron Bruno,[]
52,Aaron Carter,male,American_male_singer-songwriters,Aaron Carter,"['dance pop', 'post-teen pop']"
53,Aaron Dalbec,male,American_male_guitarists,none,none
54,Aaron Deer,male,American_male_singer-songwriters,none,none
55,Aaron Dessner,male,American_male_guitarists,Aaron Dessner,[]
56,Aaron Dugan,male,American_male_guitarists,Aaron Dugan,[]
57,Aaron Gillespie,male,American_male_guitarists,Aaron Gillespie,"['christian rock', 'dreamo']"
58,Aaron Goldstein,male,Canadian_male_singers,Aaron Goldstein,[]
59,Aaron Hall,male,African-American_male_singers,Aaron Hall,"['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
60,Aaron Kelly,male,American_country_singers,Aaron and Kelly,['roots worship']
61,Aaron Lee Tasjan,male,American_male_guitarists,Aaron Lee Tasjan,"['alternative country', 'deep new americana', 'indie folk', 'nashville americana', 'new americana']"
62,Aaron Lewis,male,American_country_singers,Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'post-grunge', 'redneck']"
63,Aaron Lines,male,Canadian_male_singers,Aaron Lines,"['alberta country', 'canadian country', 'country road']"
64,Aaron Nagel,male,American_male_guitarists,none,none
65,Aaron North,male,American_male_guitarists,Aaron North,[]
66,Aaron Pauley,male,American_male_singers,Aaron Pauley,[]
67,Aaron Pritchett,male,Canadian_male_singers,Aaron Pritchett,"['canadian contemporary country', 'canadian country', 'country road']"
68,Aaron Riches,male,Canadian_male_singers,none,none
69,Aaron Roterfeld,male,Male_songwriters,none,none
70,Aaron Shearer,male,American_male_guitarists,none,none
71,Aaron Stainthorpe,male,English_male_singers,Aaron Stainthorpe,[]
72,Aaron Tap,male,American_male_guitarists,none,none
73,Aaron Tippin,male,American_country_singers,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
74,Aaron Turner,male,American_male_guitarists,Aaron Turner,[]
75,Aaron Walpole,male,Canadian_male_singers,Aaron Walpole f. Sara Westbrook,[]
76,Aaron Watson,male,American_country_singers,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
77,Aaron Weistrop,male,American_male_guitarists,none,none
78,Ab-Soul,male,African-American_male_rappers,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
79,Abbe Lane,female,American_female_singers,Abbe Lane,[]
80,Abbey Lincoln,female,American_female_jazz_singers,Abbey Lincoln,['vocal jazz']
81,Abby Dobson,female,American_female_singers,Abby Dobson,[]
82,Abby Travis,female,American_female_guitarists,"Abby Travis, The Abby Travis Foundation",[]
83,Abby Zotz,female,Canadian_female_singers,Abby Zotz,[]
84,Abdul Fakir,male,American_male_singers,Abdul Fakir,[]
85,Abel Carlevaro,male,Male_guitarists,Abel Carlevaro,['classical guitar']
86,Abel Pintos,male,Male_guitarists,Abel Pintos,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino', 'rock en espanol']"
87,Abel Talamántez,male,American_male_singers,Abel Talamantez,[]
88,Abeti Masikini,female,French_female_singers,Abeti Masikini,['soukous']
89,Abi Ann,female,American_female_country_singers,Anne Marie Abildskov,[]
90,Abi Harding,female,English_female_singers,Abigail Harding,[]
91,Abi Phillips,female,English_female_singer-songwriters,none,none
92,Abi Roberts,female,British_female_singers,"Thea Binnie, Naomi Roberts and Abi Rankin",[]
93,Abi Tucker,female,Australian_female_singers,Abi Tucker,[]
94,Abigail,female,Australian_female_singers,Abigail Lapell,"['canadian folk', 'canadian singer-songwriter', 'indie folk', 'new americana']"
95,Abigail Washburn,female,American_female_singers,Abigail Washburn,"['banjo', 'clawhammer banjo', 'progressive bluegrass']"
96,Abner Jay,male,American_male_singers,Abner Jay,"['garage punk blues', 'outsider', 'traditional folk']"
97,Abra Moore,female,American_female_country_singers,Abra Moore,"['ectofolk', 'lilith', 'new wave pop']"
98,Abraham Quintanilla Jr.,male,American_male_singers,none,none
99,Abu Talib,male,American_male_guitarists,Abu Talib,[]
100,Abyale,female,French_female_singers,Abyale,[]
101,Abz Love,male,English_male_singers,Abz Love,[]
102,Ace Andres,male,American_male_guitarists,Ace Andres,[]
103,Ace Enders,male,American_male_guitarists,Ace Enders,['dreamo']
104,Ace Frehley,male,American_male_guitarists,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
105,Ace Hood,male,African-American_male_rappers,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
106,Ace Kefford,male,English_male_singers,Ace Kefford,[]
107,Ace Von Johnson,male,American_male_guitarists,none,none
108,Ace Wilder,female,Swedish_female_singers,Ace Wilder,"['europop', 'eurovision', 'swedish idol pop', 'swedish pop']"
109,Acey Slade,male,American_male_guitarists,Acey Slade & The Dark Party,[]
110,Action Bronson,male,American_male_rappers,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
111,Ad Sluijter,male,Male_guitarists,none,none
112,Ad-Rock,male,American_male_guitarists,Ad-Rock,[]
113,Ada Blanche,female,English_female_singers,none,none
114,Ada Brown,female,American_female_singers,Adam Brown,[]
115,Ada Jones,female,English_female_singers,Adam Jones,[]
116,Ada Reeve,female,English_female_singers,Adam Reeves,[]
117,Adair Tishler,female,American_female_singers,none,none
