artist,gender,category,genre,
12 Gauge,male,African-American_male_rappers,miami bass,13443
1987,male,Swedish_male_singers,retro electro,
2 Chainz,male,African-American_male_rappers,"atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",
2 Pistols,male,African-American_male_rappers,"dirty south rap, pop rap, southern hip hop, trap",
21 Savage,male,African-American_male_rappers,"atl hip hop, rap, trap",
40 Cal.,male,African-American_male_rappers,"harlem hip hop, nyc rap",
40 Glocc,male,African-American_male_rappers,,
50 Cent,male,African-American_male_rappers,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",
6 Tre G,male,American_male_rappers,,
60 Second Assassin,male,African-American_male_rappers,wu fam,
6LACK,male,African-American_male_rappers,"alternative r&b, atl hip hop, melodic rap, pop, pop rap, rap, trap",
88-Keys,male,African-American_male_rappers,alternative hip hop,
9th Prince,male,African-American_male_rappers,wu fam,
9th Wonder,male,African-American_male_rappers,"alternative hip hop, hip hop, nc hip hop",
A Boogie wit da Hoodie,male,African-American_male_rappers,"melodic rap, pop rap, rap, trap",
A Girl Called Eddy,female,American_female_singer-songwriters,,
A'Me Lorain,female,American_female_singers,,
A+,male,African-American_male_rappers,"melodic rap, pop rap, rap, trap",
A-L-X,male,Scottish_male_singers,"chillhop, lo-fi beats",
A-Plus,male,African-American_male_rappers,"contemporary country, pop",
A. A. Bondy,male,American_country_singers,"alternative country, chamber pop, indie folk, new americana, stomp and holler",
A. C. Newman,male,Canadian_male_singers,,
A. J. Croce,male,American_male_singer-songwriters,,
A. J. Ghent,male,American_male_guitarists,steel guitar,
A. J. Masters,male,American_country_singers,,
A. L. Lloyd,male,English_male_singers,"broadway, show tunes, west end",
A. P. Carter,male,American_country_singers,,
A. P. Thompson,male,American_male_guitarists,,
A.B. Quintanilla,male,American_male_guitarists,,
A.C. Marias,female,British_female_singers,uk post-punk,
A.D.O.R.,male,American_male_rappers,,
A.J. Trauth,male,American_male_guitarists,,
"A.L. ""Doodle"" Owens",male,American_country_singers,,
AJ McLean,male,American_male_pop_singers,,
AJ Michalka,female,American_female_guitarists,,
AM,male,American_male_guitarists,"hip hop, pop rap, portland hip hop, rap",
AMG,male,African-American_male_rappers,,
AR-Ab,male,African-American_male_rappers,philly rap,
ASAP Ferg,male,African-American_male_rappers,,
ASAP Nast,male,African-American_male_rappers,,
ASAP Rocky,male,African-American_male_rappers,,
ASAP Twelvyy,male,African-American_male_rappers,,
ASAP TyY,male,African-American_male_rappers,,
AZ,male,African-American_male_rappers,"grupera, gruperas inmortales, nu-cumbia, regional mexican",
Aaliyah,female,African-American_female_singers,"dance pop, hip pop, pop, pop rap, r&b, urban contemporary",
Aaradhna,female,New_Zealand_female_pop_singers,"jawaiian, nz pop, polynesian pop",
Aaron Barker,male,American_country_singers,,
Aaron Barrett,male,American_male_guitarists,,
Aaron Bedard,male,American_male_singers,,
Aaron Benward,male,American_country_singers,,
Aaron Bertram,male,American_male_singers,,
Aaron Bruno,male,American_male_singers,,
Aaron Carter,male,American_male_singer-songwriters,"dance pop, post-teen pop",
Aaron Dalbec,male,American_male_guitarists,,
Aaron Deer,male,American_male_singer-songwriters,,
Aaron Dessner,male,American_male_guitarists,,
Aaron Dugan,male,American_male_guitarists,,
Aaron Gillespie,male,American_male_guitarists,"christian rock, dreamo",
Aaron Goldstein,male,Canadian_male_singers,,
Aaron Hall,male,African-American_male_singers,"new jack swing, quiet storm, r&b, urban contemporary",
Aaron Kelly,male,American_country_singers,roots worship,
Aaron Lee Tasjan,male,American_male_guitarists,"alternative country, deep new americana, indie folk, nashville americana, new americana",
Aaron Lewis,male,American_country_singers,"alternative metal, contemporary country, country, country road, modern country rock, outlaw country, post-grunge, redneck",
Aaron Lines,male,Canadian_male_singers,"alberta country, canadian country, country road",
Aaron Nagel,male,American_male_guitarists,,
Aaron North,male,American_male_guitarists,,
Aaron Pauley,male,American_male_singers,,
Aaron Pritchett,male,Canadian_male_singers,"canadian contemporary country, canadian country, contemporary country, country road",
Aaron Riches,male,Canadian_male_singers,,
Aaron Roterfeld,male,Male_songwriters,,
Aaron Shearer,male,American_male_guitarists,,
Aaron Stainthorpe,male,English_male_singers,,
Aaron Tap,male,American_male_guitarists,,
Aaron Tippin,male,American_country_singers,"country, country road, country rock, redneck",
Aaron Turner,male,American_male_guitarists,,
Aaron Walpole,male,Canadian_male_singers,,
Aaron Watson,male,American_country_singers,"contemporary country, country, country road, modern country rock, texas country",
Aaron Weistrop,male,American_male_guitarists,,
Ab-Soul,male,African-American_male_rappers,"alternative hip hop, conscious hip hop, hip hop, rap, southern hip hop, underground hip hop",
Abbe Lane,female,American_female_singers,,
Abbey Lincoln,female,American_female_jazz_singers,vocal jazz,
Abby Dobson,female,American_female_singers,,
Abby Travis,female,American_female_guitarists,,
Abby Zotz,female,Canadian_female_singers,,
Abdul Fakir,male,American_male_singers,,
Abel Carlevaro,male,Male_guitarists,classical guitar,
Abel Pintos,male,Male_guitarists,"argentine rock, argentine telepop, cumbia pop, folklore argentino, pop argentino, rock en espanol",
Abel Talamántez,male,American_male_singers,,
Abeti Masikini,female,French_female_singers,soukous,
Abi Ann,female,American_female_country_singers,,
Abi Harding,female,English_female_singers,,
Abi Phillips,female,English_female_singer-songwriters,,
Abi Roberts,female,British_female_singers,,
Abi Tucker,female,Australian_female_singers,,
