,artist,gender,retrieved,genre
0,Billy Joe Royal,male,https://en.wikipedia.org/wiki/Billy_Joe_Royal,"Rock and roll, Country music, Gospel music"
1,Inés Gaviria,female,https://en.wikipedia.org/wiki/Inés_Gaviria,"Latin pop, Pop rock"
2,Tha Realest,male,https://en.wikipedia.org/wiki/Tha_Realest,Hip hop music
3,Mr. Lif,male,https://en.wikipedia.org/wiki/Mr._Lif,"Hip hop music, Alternative hip hop, Political hip hop"
4,Clarice Mayne,female,https://en.wikipedia.org/wiki/Clarice_Mayne,"Music hall, Variety theatre"
5,Randy Newman,male,https://en.wikipedia.org/wiki/Randy_Newman,"Rock music, Pop music, R&amp;B, Americana (music)"
6,Dallas Taylor,male,https://en.wikipedia.org/wiki/Dallas_Taylor_(musician),"Southern metal, Metalcore, Post-hardcore, Death metal"
7,Gary Beach,male,none,none
8,Prof,male,https://en.wikipedia.org/wiki/Prof_(rapper),"Hip hop music, Alternative hip hop"
9,Maureen Forrester,female,none,none
10,Lauren Passarelli,female,https://en.wikipedia.org/wiki/Lauren_Passarelli,"Pop-rock, Instrumental"
11,Connie Mitchell,female,https://en.wikipedia.org/wiki/Connie_Mitchell,"Electropop, Electronic dance music"
12,Alan Jackson,male,https://en.wikipedia.org/wiki/Alan_Jackson,"Country music, Bluegrass music, Gospel music"
13,ZZ Ward,female,https://en.wikipedia.org/wiki/ZZ_Ward,"Blues rock, Contemporary R&amp;B, Pop rock, Blue-eyed soul"
14,Sophia Churney,female,https://en.wikipedia.org/wiki/Sophia_Churney,"Indie (music), Pop music"
15,Tess Mattisson,female,https://en.wikipedia.org/wiki/Tess_Mattisson,"Dance music, Pop music"
16,Luther Kent,male,https://en.wikipedia.org/wiki/Luther_Kent,"Blues, Rhythm and Blues, Gospel music"
17,Jean Guidoni,male,https://en.wikipedia.org/wiki/Jean_Guidoni,"French pop music, Pop/Rock"
18,Billy Mohler,male,none,none
19,Maggie Estep,female,none,none
20,Ian Hunter,male,https://en.wikipedia.org/wiki/Ian_Hunter_(musician),"Rock music, Hard rock, Glam rock"
21,Victor Lundin,male,none,none
22,Patrick Sky,male,none,none
23,Paul Stookey,male,https://en.wikipedia.org/wiki/Paul_Stookey,Folk music
24,Billy Magnussen,male,none,none
25,Nita Strauss,female,https://en.wikipedia.org/wiki/Nita_Strauss,"Heavy metal music, Hard rock, Tribute act, Instrumental metal, Deathcore"
26,Stacey Kent,female,https://en.wikipedia.org/wiki/Stacey_Kent,"Jazz, Vocal jazz"
27,Melissa Hannan,female,none,none
28,Mitch MacDonald,male,https://en.wikipedia.org/wiki/Mitch_MacDonald,"Folk music, Indie music"
29,Bernard Seigal,male,https://en.wikipedia.org/wiki/Bernard_Seigal,"Rock and roll, Rockabilly"
30,David Nigger,male,none,none
31,Kendra Ross,female,https://en.wikipedia.org/wiki/Kendra_Ross,"Contemporary R&amp;B, Soul music, Neo soul, Jazz, Gospel music, Hip hop music"
32,Big Daddy Kinsey,male,none,none
33,Meredith Sheldon,female,https://en.wikipedia.org/wiki/Meredith_Sheldon,"Rock music, Alternative music, Grunge, Indie rock, Pop rock"
34,Thomas Zwijsen,male,https://en.wikipedia.org/wiki/Thomas_Zwijsen,"Classical music, Flamenco, Heavy metal music, Instrumental rock, Progressive rock, Jazz fusion"
35,Alexandra Burke,female,https://en.wikipedia.org/wiki/Alexandra_Burke,"Contemporary R&amp;B, Pop music, Soul music"
36,Gianfranco Baldazzi,male,none,none
37,Dave Brock,male,https://en.wikipedia.org/wiki/Dave_Brock,"Space rock, Progressive rock"
38,Omar Wilson,male,none,none
39,Gordon Fraser,male,none,none
40,Reba McEntire,female,https://en.wikipedia.org/wiki/Reba_McEntire,Country music
41,Scott Frew,male,none,none
42,Major Matt Mason USA,male,https://en.wikipedia.org/wiki/Major_Matt_Mason_USA,"Anti-folk, Do it yourself"
43,Draen Ri?l,male,none,none
44,Dave McCabe,male,https://en.wikipedia.org/wiki/Dave_McCabe,"Indie Music, Rock music"
45,Tim Malchak,male,https://en.wikipedia.org/wiki/Tim_Malchak,"Country music, Christian music"
46,Kim Warnick,female,none,none
47,Kym Marsh,female,https://en.wikipedia.org/wiki/Kym_Marsh,"Pop music, Rock music"
48,Norman Walker,male,none,none
49,Jeff Coopwood,male,none,none
50,Jennifer DiNoia,female,none,none
51,Chad Kroeger,male,https://en.wikipedia.org/wiki/Chad_Kroeger,"Post-grunge, Hard rock, Heavy metal music, Pop rock, Alternative rock, Alternative metal"
52,Dave Walker,male,https://en.wikipedia.org/wiki/Dave_Walker,"R&amp;B, Blues, Heavy metal music"
53,Elli Erl,female,https://en.wikipedia.org/wiki/Elli_Erl,Pop (music)
54,Angelo Moore,male,https://en.wikipedia.org/wiki/Angelo_Moore,"Alternative rock, Funk metal, Ska punk, Spoken word, Reggae Rock, Ska"
55,Paulo Martelli,male,none,none
56,Jan Johansen,male,none,none
