,artist,gender,retrieved,genre
0,Jimmy Boyd,male,none,none
1,Christopher Willits,male,https://en.wikipedia.org/wiki/Christopher_Willits,"['electronic', 'glitch', 'ambient', 'electroacoustic', 'experimental']"
2,Henry Frayne,male,none,none
3,Shawn Hook,male,https://en.wikipedia.org/wiki/Shawn_Hook,"['pop', 'electronic', 'rock']"
4,Steve Poltz,male,https://en.wikipedia.org/wiki/Steve_Poltz,"['pop rock', 'indie-rock', 'folk rock']"
5,Dave Schramm,male,none,none
6,Marvin Isley,male,https://en.wikipedia.org/wiki/Marvin_Isley,"['r&b', 'funk', 'soul', 'funk rock']"
7,Povel Ramel,male,https://en.wikipedia.org/wiki/Povel_Ramel,['vaudeville']
8,Lisa McHugh,female,none,none
9,Sharon Van Etten,female,https://en.wikipedia.org/wiki/Sharon_Van_Etten,"['indie rock', 'indie folk']"
10,Krista Marie,female,https://en.wikipedia.org/wiki/Krista_Marie,['country']
11,Holly Lerski,female,none,none
12,Marie Bryant,female,none,none
13,Jordon Zadorozny,male,none,none
14,Justin Grennan,male,https://en.wikipedia.org/wiki/Justin_Grennan,"['soul', 'r&b']"
15,Roger Greenaway,male,https://en.wikipedia.org/wiki/Roger_Greenaway,['pop']
16,Fritz McIntyre,male,https://en.wikipedia.org/wiki/Fritz_McIntyre,"['pop', 'soul', 'post-punk', 'ccm']"
17,Tony Spinner,male,https://en.wikipedia.org/wiki/Tony_Spinner,"['blues rock', 'pop rock', 'hard rock']"
18,Rich Homie Quan,male,https://en.wikipedia.org/wiki/Rich_Homie_Quan,"['hip hop', 'mumble rap']"
19,Dan Pickett,male,https://en.wikipedia.org/wiki/Dan_Pickett_(musician),"['country blues', 'piedmont blues']"
20,Aleesha Rome,female,https://en.wikipedia.org/wiki/Aleesha_Rome,['pop']
21,Tony Martinez,male,none,none
22,Anthony J. Mifsud,male,none,none
23,Eagle-Eye Cherry,male,https://en.wikipedia.org/wiki/Eagle-Eye_Cherry,"['rock', 'post-grunge', 'alternative rock', 'acoustic']"
24,Joseph Ward,male,none,none
25,Ben Barnes,male,none,none
26,Jason Keyser,male,none,none
27,Alexandra Slate,female,none,none
28,Rachel Goswell,female,https://en.wikipedia.org/wiki/Rachel_Goswell,"['indie pop', 'dream pop', 'folk rock', 'experimental rock', 'shoegazing']"
29,Donald Fagen,male,https://en.wikipedia.org/wiki/Donald_Fagen,"['jazz rock', 'soft rock', 'yacht rock', 'r&b']"
30,David Charvet,male,none,none
31,Ken Tobias,male,https://en.wikipedia.org/wiki/Ken_Tobias,"['folk', 'rock']"
32,Colin Marston,male,https://en.wikipedia.org/wiki/Colin_Marston,"['technical death metal', 'black metal', 'avant-garde']"
33,Colby O'Donis,male,https://en.wikipedia.org/wiki/Colby_O'Donis,"['pop', 'r&b']"
34,Macy Gray,female,https://en.wikipedia.org/wiki/Macy_Gray,"['r&b', 'soul', 'neo soul', 'jazz']"
35,Mary Jane Lamond,female,https://en.wikipedia.org/wiki/Mary_Jane_Lamond,['celtic folk']
36,Troy Donahue,male,none,none
37,Elle Varner,female,none,none
38,Adam Ross,male,none,none
39,Mickey Baker,male,https://en.wikipedia.org/wiki/Mickey_Baker,"['r&b', 'jazz', 'rock']"
40,Kevin Jonas,male,https://en.wikipedia.org/wiki/Kevin_Jonas,"['rock', 'pop rock', 'power pop', 'teen pop', 'funk rock']"
41,Spoonie Gee,male,https://en.wikipedia.org/wiki/Spoonie_Gee,"['hip hop', 'funk']"
42,Porter Wagoner,male,https://en.wikipedia.org/wiki/Porter_Wagoner,"['country music', 'gospel']"
43,Jean-François Michael,male,https://en.wikipedia.org/wiki/Jean-François_Michael,['pop']
44,Korey Cooper,female,https://en.wikipedia.org/wiki/Korey_Cooper,"['christian rock', 'christian metal', 'hard rock', 'alternative rock', 'nu metal', 'symphonic metal']"
45,Dave Hope,male,https://en.wikipedia.org/wiki/Dave_Hope,"['progressive rock', 'rock', 'christian rock']"
46,Finis Tasby,male,https://en.wikipedia.org/wiki/Finis_Tasby,['blues']
47,Cynthia Johnson,female,https://en.wikipedia.org/wiki/Cynthia_Johnson,"['funk', 'disco', 'r&b', 'jazz', ' pop', 'soul', ' rock']"
48,Doug Piercy,male,none,none
49,Jackson Rohm,male,https://en.wikipedia.org/wiki/Jackson_Rohm,"['country', ' pop']"
50,Gloria Wood,female,none,none
51,Luc Arbogast,male,https://en.wikipedia.org/wiki/Luc_Arbogast,['medieval music']
52,Aidan Knight,male,https://en.wikipedia.org/wiki/Aidan_Knight,"['folk', 'experimental', 'indie rock']"
53,Bob Dorough,male,https://en.wikipedia.org/wiki/Bob_Dorough,['jazz']
54,Cedric Burnside,male,https://en.wikipedia.org/wiki/Cedric_Burnside,"['electric blues', 'hill country blues']"
55,Randy Hansen,male,https://en.wikipedia.org/wiki/Randy_Hansen,"['jimi hendrix tribute', 'psychedelic rock', 'blues', 'rock', 'r&b']"
56,Susannah Melvoin,female,https://en.wikipedia.org/wiki/Susannah_Melvoin,"['rock', 'funk', 'pop', 'new wave', 'minneapolis sound', 'r&b']"
57,Gary Wright,male,https://en.wikipedia.org/wiki/Gary_Wright,"['hard rock', 'progressive rock', 'soft rock', 'world music', 'new age']"
58,Annick Thoumazeau,female,none,none
59,Kate Cameron,female,none,none
60,Merry Clayton,female,https://en.wikipedia.org/wiki/Merry_Clayton,"['soul', 'gospel']"
61,Delores Holmes,female,https://en.wikipedia.org/wiki/Delores_Holmes,"['r&b', 'soul', 'rock and roll']"
62,Omega Crosby,male,https://en.wikipedia.org/wiki/Omega_Crosby,"['rap', 'hip hop']"
63,Robert Lamm,male,https://en.wikipedia.org/wiki/Robert_Lamm,"['rock', 'adult contemporary', 'jazz fusion']"
64,"Creadel ""Red"" Jones",male,"https://en.wikipedia.org/wiki/Creadel_""Red""_Jones","['r&b', 'soul']"
