index,artist,retrieved,genre
0,Rosemary Vandenbroucke,none,none
1,Studebaker John,none,none
2,Storm Calysta,https://en.wikipedia.org/wiki/Storm_Calysta,"['Indie-Pop', 'Rock music', 'Indie pop', 'Pop music', 'Psychedelic Rock']"
3,Larry Jon Wilson,https://en.wikipedia.org/wiki/Larry_Jon_Wilson,['Country music']
4,Leah Randi,https://en.wikipedia.org/wiki/Leah_Randi,['Alternative rock']
5,Ashley Maher,none,none
6,Martin Bengtsson,none,none
7,Jerry Penrod,https://en.wikipedia.org/wiki/Jerry_Penrod,['Rock music']
8,Wendy Rene,https://en.wikipedia.org/wiki/Wendy_Rene,"['Soul music', 'Rhythm and blues']"
9,Jon Carin,https://en.wikipedia.org/wiki/Jon_Carin,"['Synth-pop', 'New wave music', 'Alternative rock']"
10,Gene Pierson,none,none
11,Thomas Jesty,https://en.wikipedia.org/wiki/Thomas_Jesty,['Classical music']
12,Sanaa Lathan,none,none
13,Adam Wexler,https://en.wikipedia.org/wiki/Adam_Wexler,['Jewish rock music']
14,Randall Bewley,https://en.wikipedia.org/wiki/Randall_Bewley,"['New wave music', 'Post-punk']"
15,Nick Traina,https://en.wikipedia.org/wiki/Nick_Traina,['Punk rock']
16,Lakrea Clark,https://en.wikipedia.org/wiki/Lakrea_Clark,['Rhythm and blues']
17,André Olbrich,https://en.wikipedia.org/wiki/André_Olbrich,"['Power metal', 'Thrash metal', 'Heavy metal music']"
18,Little Buddy Doyle,https://en.wikipedia.org/wiki/Little_Buddy_Doyle,"['Country blues', 'Memphis blues']"
19,Robert Jones,none,none
20,Dale Daniel,https://en.wikipedia.org/wiki/Dale_Daniel,['Country music']
21,Viola Wills,https://en.wikipedia.org/wiki/Viola_Wills,"['Funk music', 'Disco music', 'Dance music']"
22,Henry Slaughter,https://en.wikipedia.org/wiki/Henry_Slaughter,['Southern gospel']
23,Camila Bordonaba,https://en.wikipedia.org/wiki/Camila_Bordonaba,"['Pop rock', 'Modern rock']"
24,Rob Baird,https://en.wikipedia.org/wiki/Rob_Baird,['Americana (music)']
25,Roy Babbington,none,none
26,Brenn Hill,https://en.wikipedia.org/wiki/Brenn_Hill,"['Country music', 'Western music (North America)', 'Folk music', 'Popular music']"
27,Georgie Shaw,none,none
28,Iain Matthews,https://en.wikipedia.org/wiki/Iain_Matthews,"['Country rock', 'Folk music', 'Pop music', 'Rock music']"
29,Sandrine Kiberlain,none,none
30,Ross Hannaford,https://en.wikipedia.org/wiki/Ross_Hannaford,"['Rock and roll', 'Progressive rock']"
31,Lefty Dizz,https://en.wikipedia.org/wiki/Lefty_Dizz,"['Chicago blues', 'Electric blues']"
32,Luke Ski,https://en.wikipedia.org/wiki/Luke_Ski,"['Parody music', 'Filk music', 'Hip hop music']"
33,Crystal Monee Hall,none,none
34,Barrelhouse Chuck,https://en.wikipedia.org/wiki/Barrelhouse_Chuck,"['Chicago blues', 'Electric blues']"
35,Norman Walker,none,none
36,Michael O'Mara,https://en.wikipedia.org/wiki/Michael_O'Mara,"['Pop rock', 'Alternative rock']"
37,Son Seals,https://en.wikipedia.org/wiki/Son_Seals,['Electric blues']
38,Kneel Cohn,https://en.wikipedia.org/wiki/Kneel_Cohn,"['Alternative rock', 'Glam rock']"
39,Betty Compton,none,none
40,Des'ree,https://en.wikipedia.org/wiki/Des'ree,"['Dance music', 'Pop music']"
41,Janis Martin,https://en.wikipedia.org/wiki/Janis_Martin,"['Rockabilly', 'Country music', 'Rock and roll']"
42,C. W. Stoneking,https://en.wikipedia.org/wiki/C._W._Stoneking,"['Blues music', 'Country blues', 'Vaudeville blues', 'Calypso music', 'Hokum', 'Rock and Roll', 'Lo-fi music']"
43,Bryan Johnson,none,none
44,Morris P. Rainville,https://en.wikipedia.org/wiki/Morris_P._Rainville,['Country music']
45,Philippe Jaroussky,none,none
46,Judee Sill,https://en.wikipedia.org/wiki/Judee_Sill,"['Folk rock', 'Country rock', 'Roots rock', 'Baroque pop']"
47,Claude King,https://en.wikipedia.org/wiki/Claude_King,['Country music']
48,Caterina Jarboro,none,none
49,Ed Dowie,none,none
50,Rae'Ven Larrymore Kelly,none,none
51,Joanna Newsom,https://en.wikipedia.org/wiki/Joanna_Newsom,"['Indie folk', 'Folk baroque', 'Freak folk', 'Avant-garde music', 'Baroque pop']"
