,artist,gender,retrieved,genre
0,Isis,female,https://en.wikipedia.org/wiki/Isis_(rapper),['Hip hop music']
1,Terra Naomi,female,https://en.wikipedia.org/wiki/Terra_Naomi,"['Folk music', 'Indie folk', 'Rock music', 'Alternative Rock']"
2,Bones Apart,female,https://en.wikipedia.org/wiki/Bones_Apart,[]
3,Serena Ryder,female,https://en.wikipedia.org/wiki/Serena_Ryder,"['Folk rock', 'Indie rock', 'Jazz', 'Pop rock']"
4,Lisa Daggs,female,https://en.wikipedia.org/wiki/Lisa_Daggs,"['Gospel music', 'Christian country music']"
5,Jenny Lewis and The Watson Twins,female,none,none
6,The Daisy Chain,female,https://en.wikipedia.org/wiki/The_Daisy_Chain_(band),"['Garage rock', 'Psychedelic rock']"
7,Art in Manila,female,none,none
8,Kimberley Dahme,female,https://en.wikipedia.org/wiki/Kimberley_Dahme,['Country music']
9,Gail Davies,female,https://en.wikipedia.org/wiki/Gail_Davies,"['Country music', 'Folk music']"
10,Vivian Girls,female,https://en.wikipedia.org/wiki/Vivian_Girls,"['Indie rock', 'Dream pop', 'Noise pop', 'Lo-fi music']"
11,Republic of Safety,female,https://en.wikipedia.org/wiki/Republic_of_Safety,['Indie rock']
12,Tara Vanflower,female,https://en.wikipedia.org/wiki/Tara_Vanflower,"['Dark wave', 'Ethereal wave']"
13,Tonight Alive,female,https://en.wikipedia.org/wiki/Tonight_Alive,"['Pop punk', 'Pop rock', 'Power pop', 'Alternative rock', 'Emo']"
14,Janis Martin,female,https://en.wikipedia.org/wiki/Janis_Martin,"['Rockabilly', 'Country music', 'Rock and roll']"
15,Stefy,female,https://en.wikipedia.org/wiki/Stefy,"['Pop rock', 'New wave music', 'Synthpop', 'Electronica']"
16,Carla Bozulich,female,https://en.wikipedia.org/wiki/Carla_Bozulich,"['Alternative rock', 'Experimental rock', 'Alternative country', 'Noise']"
17,Mary's Blood,female,https://en.wikipedia.org/wiki/Mary's_Blood,['Power metal']
18,Laura Jane Grace,female,https://en.wikipedia.org/wiki/Laura_Jane_Grace,['Punk rock']
19,We Are The In Crowd,female,https://en.wikipedia.org/wiki/We_Are_The_In_Crowd,"['Pop rock', 'Pop punk', 'Post-hardcore']"
20,Veruca Salt,female,https://en.wikipedia.org/wiki/Veruca_Salt,"['Alternative rock', 'Grunge']"
21,Big Joanie,female,https://en.wikipedia.org/wiki/Big_Joanie,"['Punk rock', 'Post-punk']"
22,T'Pau,female,https://en.wikipedia.org/wiki/T'Pau_(band),['Pop music']
23,Snatch,female,none,none
24,Penny Jay,female,https://en.wikipedia.org/wiki/Penny_Jay,[]
25,The Wimmins' Institute,female,https://en.wikipedia.org/wiki/The_Wimmins'_Institute,"['Indie rock', 'Riot grrrl']"
26,Amie Comeaux,female,https://en.wikipedia.org/wiki/Amie_Comeaux,['Country music']
27,Bellatrix,female,none,none
28,Miki Furukawa,female,https://en.wikipedia.org/wiki/Miki_Furukawa,['Electropop']
29,Fire Party,female,none,none
30,Alecia Nugent,female,https://en.wikipedia.org/wiki/Alecia_Nugent,['Bluegrass music']
31,Bobbie Eakes,female,https://en.wikipedia.org/wiki/Bobbie_Eakes,"['Country music', 'Pop music', 'Pop rock']"
32,Maureen McCormick,female,none,none
33,Kalie Shorr,female,https://en.wikipedia.org/wiki/Kalie_Shorr,['Country music']
34,Cobra Killer,female,https://en.wikipedia.org/wiki/Cobra_Killer,"['Digital hardcore', 'Electroclash']"
35,V V Brown,female,https://en.wikipedia.org/wiki/V_V_Brown,"['Indie pop', 'Dance-punk']"
36,Gabbie Nolen,female,https://en.wikipedia.org/wiki/Gabbie_Nolen,['Country music']
37,Tess Wiley,female,https://en.wikipedia.org/wiki/Tess_Wiley,"['Pop rock', 'Soft rock', 'Alternative rock']"
38,Teenage Jesus and the Jerks,female,https://en.wikipedia.org/wiki/Teenage_Jesus_and_the_Jerks,['No wave']
39,Texas,female,https://en.wikipedia.org/wiki/Texas_(band),"['Alternative rock', 'Pop rock']"
40,Andrea Corr,female,https://en.wikipedia.org/wiki/Andrea_Corr,"['Pop music', 'Rock music', 'Celtic music']"
41,The Ting Tings,female,https://en.wikipedia.org/wiki/The_Ting_Tings,"['Indie pop', 'Indie rock', 'Dance-punk', 'Synth-pop', 'Dance-pop']"
42,Sparklehorse,female,https://en.wikipedia.org/wiki/Sparklehorse,"['Lo-fi music', 'Indie rock', 'Alternative country', 'Alternative rock', 'Experimental Music']"
43,Sharon Den Adel,female,https://en.wikipedia.org/wiki/Sharon_Den_Adel,"['Symphonic metal', 'Gothic metal', 'Pop rock']"
44,Alice Bag,female,https://en.wikipedia.org/wiki/Alice_Bag,['Punk rock']
45,Alexx Calise,female,https://en.wikipedia.org/wiki/Alexx_Calise,['Rock music']
46,Salad,female,https://en.wikipedia.org/wiki/Salad_(band),['Britpop']
47,Vixen; early 1970s,female,none,none
48,Kate Pierson,female,https://en.wikipedia.org/wiki/Kate_Pierson,"['Rock music', 'New wave music']"
49,Weekend,female,none,none
50,Zone,female,https://en.wikipedia.org/wiki/Zone_(band),"['J-pop', 'Rock music']"
51,Shelly West,female,https://en.wikipedia.org/wiki/Shelly_West,['Country pop']
52,The Damned,female,https://en.wikipedia.org/wiki/The_Damned_(band),"['Punk rock', 'Gothic rock', 'Post-punk']"
53,Nina Hagen,female,https://en.wikipedia.org/wiki/Nina_Hagen,"['Punk rock', 'Rock music', 'Neue Deutsche Welle', 'New wave music', 'Post-punk', 'Heavy metal music']"
54,Liz Larin,female,none,none
55,Jennifer Brantley,female,none,none
56,Spice Girls,female,https://en.wikipedia.org/wiki/Spice_Girls,"['Pop music', 'Dance-pop']"
57,The Like,female,https://en.wikipedia.org/wiki/The_Like,"['Alternative rock', 'Indie rock']"
58,Rebecca Moore,female,none,none
59,Melissa Etheridge,female,https://en.wikipedia.org/wiki/Melissa_Etheridge,"['Heartland rock', 'Roots rock', 'Folk rock', 'Blues rock', 'Country rock']"
60,Slowdive,female,https://en.wikipedia.org/wiki/Slowdive,"['Dream pop', 'Shoegazing', 'Indie rock', 'Ambient music']"
61,Gladys Knight,female,https://en.wikipedia.org/wiki/Gladys_Knight,"['Rhythm and blues', 'Soul music', 'Pop music', 'Gospel music']"
62,Be Your Own Pet,female,https://en.wikipedia.org/wiki/Be_Your_Own_Pet,"['Garage punk (fusion genre)', 'Garage rock', 'Alternative rock', 'Noise pop']"
63,Jenna von Oÿ,female,none,none
64,Taborah Johnson,female,none,none
65,Leigh Bingham Nash,female,https://en.wikipedia.org/wiki/Leigh_Bingham_Nash,"['Pop rock', 'Soft rock', 'Adult album alternative', 'Country music']"
66,The Gathering,female,https://en.wikipedia.org/wiki/The_Gathering_(band),"['Progressive rock', 'Alternative rock', 'Trip hop', 'Shoegazing', 'Gothic metal', 'Death-doom']"
67,Bella Tromba,female,none,none
68,She Devils,female,none,none
69,Pearl Harbor,female,none,none
70,Emily Jane White,female,https://en.wikipedia.org/wiki/Emily_Jane_White,"['Indie rock', 'Indie pop', 'Folk rock', 'Post-rock', 'Sadcore', 'Neofolk']"
71,Suze DeMarchi,female,https://en.wikipedia.org/wiki/Suze_DeMarchi,"['Hard rock', 'Rock music', 'Pop music']"
72,Patti Smith,female,https://en.wikipedia.org/wiki/Patti_Smith,"['Punk rock', 'Art punk', 'Proto-punk', 'Art rock']"
73,Ginny Wright,female,none,none
74,Kitty Wells,female,https://en.wikipedia.org/wiki/Kitty_Wells,"['Country music', 'Honky tonk', 'Nashville sound', 'Gospel music']"
75,Jana Jae,female,https://en.wikipedia.org/wiki/Jana_Jae,['Country music']
76,Karen Brooks,female,https://en.wikipedia.org/wiki/Karen_Brooks,['Country music']
77,The Hush Sound,female,https://en.wikipedia.org/wiki/The_Hush_Sound,"['Indie pop', 'Jangle pop', 'Alternative rock']"
