,artist,retrieved,gender,genre
0,,Artist Vs Poet,female,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
1,Lesbians On Ecstasy,none,none,none
2,The Mo-dettes,none,none,none
3,American Girls,Those American Girls,female,[]
4,Gallhammer,Gallhammer,female,"['blackened crust', 'japanese black metal']"
5,Arven,Arven,female,"['bow pop', 'german metal', 'gothic metal', 'gothic symphonic metal', 'medieval rock', 'symphonic metal', 'symphonic power metal']"
6,Strawberry Switchblade,Strawberry Switchblade,female,"['dance rock', 'dream pop', 'experimental', 'new romantic', 'new wave', 'new wave pop', 'scottish new wave', 'twee pop']"
7,Supercute!,Supercute,female,[]
8,The Eyeliners,The Eyeliners,female,"['glam punk', 'power-pop punk']"
9,Blaxy Girls,Blaxy Girls,female,['romanian pop']
10,Cadallaca,Cadallaca,female,['riot grrrl']
11,The Lounge Kittens,The Lounge Kittens,female,[]
12,The Aces,The Aces,female,"['dance pop', 'electropop', 'indie pop', 'indie poptimism', 'indietronica']"
13,Girl in a Coma,Girl In a Coma,female,['san antonio indie']
14,Slant 6,Slant 6,female,"['dc hardcore', 'riot grrrl']"
15,The Continental Co-ets,The Continental Co-ets,female,[]
16,The Contractions,The Contractions,female,[]
17,Nots,Have Nots,female,"['boston punk', 'modern ska punk']"
18,Mrs. Fun,Funnerton MrSir,female,[]
19,Sahara Hotnights,Sahara Hotnights,female,"['power-pop punk', 'swedish alternative rock', 'swedish indie rock']"
20,Dog Party,Dog Party,female,"['diy pop punk', 'indie punk', 'sacramento indie']"
21,Dolly Mixture,none,none,none
22,Crucified Barbara,Crucified Barbara,female,"['sleaze rock', 'swedish hard rock', 'swedish metal']"
23,Plastiscines,Plastiscines,female,[]
24,Chai,2 Chainz,female,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
25,Red Aunts,Red Aunts,female,['riot grrrl']
26,The Daisy Chain,Matt Megrue & the Daisy Chains,female,[]
27,Look Blue Go Purple,Look Blue Go Purple,female,"['dunedin indie', 'dunedin sound']"
28,Fluffy,Fluffy Original,female,[]
29,Betty Blowtorch,Betty Blowtorch,female,['riot grrrl']
30,Ex-Hex,Ex Hex,female,"['indie punk', 'modern power pop', 'riot grrrl']"
31,Ars Nova,Ars Nova Copenhagen,female,"['chamber choir', 'choral', 'danish choir']"
32,Snatch,Trolley Snatcha,female,"['brostep', 'filthstep', 'zapstep']"
33,Kostars,Kostars,female,['alternative pop']
34,Thee Headcoatees,Thee Headcoatees,female,"['garage rock', 'medway sound', 'punk blues', 'trash rock']"
35,Wild Rose,The Wild Irish Roses,female,[]
36,Vixen,Vixen,female,['glam metal']
37,Care Bears on Fire,Care Bears On Fire,female,[]
38,Pony Up,Pony Up!,female,['quebec indie']
39,Cookie Crew,none,none,none
40,Plumtree,Plumtree,female,"['canadian indie', 'halifax indie']"
41,Big Trouble,Big Troubles,female,['popgaze']
42,Maow,Maow,female,['vancouver indie']
43,The Deadly Nightshade,Zelda BellaDonna and the Deadly Nightshades,female,[]
44,The Ace of Cups,none,none,none
45,The Wimmins' Institute,The Wimmins' Institute,female,[]
46,Wishing Chair,Wishing Chair,female,[]
47,The Pleasure Seekers and Cradle,none,none,none
48,Broadzilla,Broadzilla,female,[]
49,Whiteberry,Whiteberry,female,[]
50,Team Dresch,Team Dresch,female,"['indie punk', 'olympia wa indie', 'queercore', 'riot grrrl']"
51,Calamity Jane,Calamity Jane,female,[]
52,Bleach03,none,none,none
53,Sidi Bou Said,Sidi Bou Said Orqesta,female,[]
54,Junkyard Lipstick,Junkyard Lipstick,female,[]
55,Zone,Meditation Music Zone,female,['sleep']
