,artist,retrieved,gender,genre
0,50 Foot Wave,50 Foot Wave,female,['alternative pop']
1,Kids on TV,Kids On TV,female,"['electroclash', 'queercore']"
2,Kate Bush,Kate Bush,female,"['art pop', 'art rock', 'baroque pop', 'dance rock', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
3,Dale Bozzio,Dale Bozzio,female,[]
4,CSS,CSS,female,"['alternative dance', 'dance-punk', 'electroclash', 'electronica', 'indietronica', 'new rave']"
5,LP,LP,female,['la pop']
6,Tara Slone,Tara Slone,female,[]
7,Anna Burley,Anna Burley,female,[]
8,Joan Jett,Joan Jett & The Blackhearts,female,"['glam punk', 'rock']"
9,Carole King,Carole King,female,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'quiet storm', 'rock', 'singer-songwriter', 'soft rock', 'soul']"
10,V V Brown,V V Brown,female,"['british soul', 'metropopolis']"
11,Le Tigre,Le Tigre,female,"['alternative dance', 'dance-punk', 'electroclash', 'new rave', 'queercore', 'riot grrrl']"
12,Janis Martin,Janis Martin,female,"['rhythm and blues', 'rock-and-roll', 'rockabilly']"
13,Amanda Palmer,Amanda Palmer,female,"['anti-folk', 'dark cabaret', 'piano rock', 'steampunk']"
14,Donita Sparks,Donita Sparks & The Stellar Moments,female,[]
15,Jen Wood,Jena Woods,female,['lds youth']
16,Yoko Ono,Yoko Ono,female,"['experimental', 'experimental pop']"
17,Wild Flag,WILD FLAG,female,['riot grrrl']
18,Siouxsie Sioux,Siouxsie and the Banshees,female,"['alternative rock', 'dance rock', 'dream pop', 'gothic rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'uk post-punk']"
19,Marina Diamandis,Marina Diamandis,female,[]
20,Tokyo Jihen,none,none,none
21,Teri Gender Bender,Teri Gender Bender,female,[]
22,Kate Jackson,Kate Jackson,female,[]
23,Alison Moyet,Alison Moyet,female,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
24,The Lemonheads,The Lemonheads,female,"['alternative pop', 'alternative rock', 'boston rock', 'jangle pop', 'lilith', 'pop rock', 'power pop']"
25,Emily Haines,Emily Haines & The Soft Skeleton,female,['indie pop']
26,Sonic Youth,Sonic Youth,female,"['alternative rock', 'art rock', 'blues rock', 'dance rock', 'dream pop', 'experimental rock', 'garage rock', 'indie rock', 'modern rock', 'new wave', 'noise pop', 'noise rock', 'post-punk', 'punk', 'rock']"
27,Tracy + the Plastics,Tracy + The Plastics,female,"['electroclash', 'olympia wa indie', 'queercore', 'riot grrrl']"
28,The Butchies,The Butchies,female,"['queercore', 'riot grrrl']"
29,Jennifer Charles,Jennifer Charles,female,[]
30,Leslie Mah,none,none,none
31,Sarah Shannon,Sarah Solie Shannon,female,[]
