,artist,gender,category,retrieved,genre
0,12 Gauge,male,African-American_male_rappers,12 Gauge,['miami bass']
2,2 Chainz,male,African-American_male_rappers,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3,2 Pistols,male,African-American_male_rappers,2 Pistols,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
4,21 Savage,male,African-American_male_rappers,21 Savage,"['atl hip hop', 'rap', 'trap']"
5,40 Cal.,male,African-American_male_rappers,40 Cal.,"['harlem hip hop', 'nyc rap']"
6,50 Cent,male,African-American_male_rappers,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
7,60 Second Assassin,male,African-American_male_rappers,60 Second Assassin,['wu fam']
8,6LACK,male,African-American_male_rappers,6LACK,"['alternative r&b', 'atl hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
9,88-Keys,male,African-American_male_rappers,88-Keys,['alternative hip hop']
10,9th Prince,male,African-American_male_rappers,9th Prince,['wu fam']
11,9th Wonder,male,African-American_male_rappers,9th Wonder,"['alternative hip hop', 'hip hop', 'nc hip hop']"
19,A.C. Marias,female,British_female_singers,A.C. Marias,['uk post-punk']
23,Aaliyah,female,African-American_female_singers,Aaliyah,"['dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
24,Aaradhna,female,New_Zealand_female_pop_singers,Aaradhna,"['jawaiian', 'nz pop', 'polynesian pop']"
25,Aaron Carter,male,American_male_singer-songwriters,Aaron Carter,"['dance pop', 'post-teen pop']"
26,Aaron Gillespie,male,American_male_guitarists,Aaron Gillespie,"['christian rock', 'dreamo']"
27,Aaron Hall,male,African-American_male_singers,Aaron Hall,"['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
29,Aaron Lee Tasjan,male,American_male_guitarists,Aaron Lee Tasjan,"['alternative country', 'deep new americana', 'indie folk', 'nashville americana', 'new americana']"
30,Aaron Lewis,male,American_country_singers,Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'post-grunge', 'redneck']"
31,Aaron Lines,male,Canadian_male_singers,Aaron Lines,"['alberta country', 'canadian country', 'country road']"
32,Aaron Pritchett,male,Canadian_male_singers,Aaron Pritchett,"['canadian contemporary country', 'canadian country', 'country road']"
33,Aaron Tippin,male,American_country_singers,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
34,Aaron Watson,male,American_country_singers,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
35,Ab-Soul,male,African-American_male_rappers,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
36,Abbey Lincoln,female,American_female_jazz_singers,Abbey Lincoln,['vocal jazz']
37,Abel Carlevaro,male,Male_guitarists,Abel Carlevaro,['classical guitar']
38,Abel Pintos,male,Male_guitarists,Abel Pintos,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino', 'rock en espanol']"
39,Abeti Masikini,female,French_female_singers,Abeti Masikini,['soukous']
41,Abigail Washburn,female,American_female_singers,Abigail Washburn,"['banjo', 'clawhammer banjo', 'progressive bluegrass']"
42,Abner Jay,male,American_male_singers,Abner Jay,"['garage punk blues', 'outsider', 'traditional folk']"
43,Abra Moore,female,American_female_country_singers,Abra Moore,"['ectofolk', 'lilith', 'new wave pop']"
44,Ace Enders,male,American_male_guitarists,Ace Enders,['dreamo']
45,Ace Frehley,male,American_male_guitarists,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
46,Ace Hood,male,African-American_male_rappers,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
47,Ace Wilder,female,Swedish_female_singers,Ace Wilder,"['europop', 'eurovision', 'swedish idol pop', 'swedish pop']"
48,Action Bronson,male,American_male_rappers,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
50,Adam Ant,male,English_male_singers,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
51,Adam Carroll,male,American_male_guitarists,Adam Carroll,"['alternative country', 'roots americana', 'roots rock', 'texas country']"
52,Adam Cohen,male,Canadian_male_singers,Adam Cohen,['quebec indie']
53,Adam Faith,male,English_male_singers,Adam Faith,"['brill building pop', 'british invasion', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
54,Adam Gregory,male,Canadian_male_singers,Adam Gregory,"['alberta country', 'canadian country', 'country road']"
55,Adam Holzman,male,American_male_guitarists,Adam Holzman,['classical guitar']
