artist,retrieved,gender,genre
50 Foot Wave,50 Foot Wave,female,alternative pop
Kids on TV,Kids On TV,female,"electroclash, queercore"
Kate Bush,Kate Bush,female,"art pop, art rock, baroque pop, dance rock, new wave pop, permanent wave, piano rock, singer-songwriter"
CSS,CSS,female,"alternative dance, dance-punk, electroclash, electronica, indietronica, new rave"
LP,LP,female,la pop
Joan Jett,Joan Jett & The Blackhearts,female,"glam punk, rock"
Carole King,Carole King,female,"adult standards, brill building pop, folk, folk rock, mellow gold, quiet storm, rock, singer-songwriter, soft rock, soul"
V V Brown,V V Brown,female,"british soul, metropopolis"
Le Tigre,Le Tigre,female,"alternative dance, dance-punk, electroclash, new rave, queercore, riot grrrl"
Janis Martin,Janis Martin,female,"rhythm and blues, rock-and-roll, rockabilly"
Amanda Palmer,Amanda Palmer,female,"anti-folk, dark cabaret, piano rock, steampunk"
Jen Wood,Jena Woods,female,lds youth
Yoko Ono,Yoko Ono,female,"experimental, experimental pop"
Wild Flag,WILD FLAG,female,riot grrrl
Siouxsie Sioux,Siouxsie and the Banshees,female,"alternative rock, dance rock, dream pop, gothic rock, new romantic, new wave, new wave pop, post-punk, punk, uk post-punk"
Alison Moyet,Alison Moyet,female,"dance rock, new romantic, new wave, new wave pop, soft rock, synthpop"
The Lemonheads,The Lemonheads,female,"alternative pop, alternative rock, boston rock, jangle pop, lilith, pop rock, power pop"
Emily Haines,Emily Haines & The Soft Skeleton,female,indie pop
Sonic Youth,Sonic Youth,female,"alternative rock, art rock, blues rock, dance rock, dream pop, experimental rock, garage rock, indie rock, modern rock, new wave, noise pop, noise rock, post-punk, punk, rock"
Tracy + the Plastics,Tracy + The Plastics,female,"electroclash, olympia wa indie, queercore, riot grrrl"
The Butchies,The Butchies,female,"queercore, riot grrrl"
Ninja,Ninja Sex Party,female,"antiviral pop, comic, otacore"
Jack Off Jill,Jack Off Jill,female,"dark cabaret, riot grrrl, steampunk"
P!nk,P!nk,female,"dance pop, pop, post-teen pop"
Kathleen Hanna,Kathleen Hanna,female,riot grrrl
Brenda Lee,Brenda Lee,female,"adult standards, brill building pop, easy listening, lounge, rockabilly"
Lunachicks,Lunachicks,female,riot grrrl
Sara Quin,Sarah Quintana,female,new orleans indie
Ednita Nazario,Ednita Nazario,female,"latin, latin arena pop, latin pop, puerto rican pop, tropical"
Talking Heads,Talking Heads,female,"art punk, art rock, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo"
Gladys Knight,Gladys Knight & The Pips,female,"brill building pop, classic soul, disco, funk, motown, quiet storm, soul, southern soul"
Within Temptation,Within Temptation,female,"dutch metal, gothic metal, gothic symphonic metal, power metal, symphonic metal"
Princess Princess,King Princess,female,"dance pop, electropop, indie pop, nyc pop, pop"
Michelle Branch,Michelle Branch,female,"candy pop, dance pop, lilith, neo mellow, pop rock, post-teen pop"
Edie Brickell,Edie Brickell & New Bohemians,female,"folk, lilith, new wave pop, pop rock"
Sarah Harmer,Sarah Harmer,female,"canadian country, canadian indie, canadian singer-songwriter, deep new americana, ectofolk, folk, kingston on indie, lilith"
Sleeper,Sleepermane,female,lo-fi beats
X,XXXTENTACION,female,"emo rap, miami hip hop"
Le Butcherettes,Le Butcherettes,female,mexican indie
The Hush Sound,The Hush Sound,female,"baroque pop, chicago indie, piano rock"
How To Destroy Angels,How To Destroy Angels,female,"alternative metal, electronic rock, industrial metal, industrial rock"
Cerys Matthews,Cerys Matthews,female,"welsh indie, welsh rock"
The Pretty Reckless,The Pretty Reckless,female,"candy pop, post-teen pop"
Roxette,Roxette,female,"europop, new wave pop, pop rock, swedish pop"
Of Monsters and Men,Of Monsters and Men,female,"folk-pop, indie pop, metropopolis, modern alternative rock, modern rock, pop rock, stomp and holler"
Shona Laing,Shona Laing,female,classic nz pop
Rachel Goswell,Rachel Goswell,female,dream pop
Rickie Lee Jones,Rickie Lee Jones,female,"country rock, folk, folk rock, lilith, mellow gold, new wave pop, roots rock, singer-songwriter"
