Source,Target,Weight
pop_dance,schlager,1
house,acid_jazz,2
stride,traditional_jazz,1
blues,boogie_woogie,16
pop_rock,beat,2
middle_of_the_road,twee_pop,1
melodic_death_metal,d_beat,1
dancehall,kuduro,1
folk_rock,sadcore,2
folktronica,electro_pop,2
industrial_metal,dance,1
punk_rock,death_rock,1
industrial_metal,folk,1
chicago_soul,r&b,5
hip_hop,world_fusion,1
gospel,jam_rock,1
bluegrass,roots_rock,2
island_contemporary,rock_country,1
bubblegum_pop,nostalgia,1
middle_eastern,oom_pah,1
hip_hop,jazz,32
rock,creole,1
swamp_pop,country,4
nursery_rhymes,twee_pop,1
schlager,rock&roll,1
heavy_metal,sludge_metal,6
country_blues,gospel_blues,4
son,tropical,1
folk,art_pop,4
bubblegum_pop,musical,1
indie_pop,dance_punk,1
punk_rock,psychedelic_rock,6
musical,folk_rock,1
heartland_rock,post_punk_revival,2
sunshine_pop,art_pop,1
observational_comedy,sarcasm,1
soft_grunge,goth_rock,1
hip_hop,pop_culture,1
country,canadian_country,1
funk,latin_jazz,1
post_metal,sludge_metal,3
pop_rock,french_variety,1
tropical,latin,3
british_blues,british_soul,1
indie,art_rock,3
noise_rock,freak_folk,2
traditional_pop,bolero,1
jangle_pop,psychedelic_folk,1
merseybeat,pop,3
hip_hop,rap_metal,6
acid_jazz,rock,1
alternative_rock,jazz_fusion,4
soul,doo_wop,17
new_wave,experimental_pop,2
death_metal,grindcore,12
indie_folk,avant_garde_rock,1
rock&roll,synth_punk,1
conjunto,tejano,1
disco,twee_pop,1
instrumental_synth,art_rock,1
big_band,lo_fi,1
mantra,female_vocalists,1
death_metal,speed_metal,3
power_metal,funk,1
punk,new_wave,8
house,alternative,1
club,greek,1
acid_rock,art_rock,1
folk,folk,10
christian_r&b,reggae,1
electronic_rock,pop_rap,1
rap_rock,funk_rock,4
rockabilly,r&b,13
nu_disco,synth_pop,3
world_fusion,nightcore,1
americana,roots_rock,22
afro,guajira,1
contemporary_dance,funk,1
punk_jazz,ska_jazz,1
deathrock,industrial_rock,1
hard_rock,southern_hip_hop,1
jump_blues,boogie_woogie,2
rock,ghost_rock,1
punk,alternative_dance,1
free_jazz,world_beat,1
baroque_pop,soundtrack,1
acid_jazz,organ_trio,1
glam_metal,nu_metal,3
jangle_pop,neo_psychedelic,1
heavy_metal,experimental,3
experimental_metal,doom_metal,1
country,contemporary_folk,1
shoegaze,indie_pop,1
acid_jazz,bebop,1
alternative_dance,outsider,1
liquid_funk,ambient,1
christian_rock,folk_rock,3
tejano,reggae,2
post_disco,urban,3
electronic,electroclash,1
nu_jazz,yass,1
hardcore_punk,edm,1
pop_dance,r&b,4
rock&roll,rockabilly,65
emo,synth_pop,1
hill_country_blues,garage_rock,1
pop_standards,jazz,3
christian,blues,3
experimental,contemporary_classical,4
traditional_irish,jazz,2
indie_folk,gospel,2
soul,acoustic_rock,3
dance_pop,art_pop,3
rockabilly,theater,1
electronic_rock,industrial_rock,3
folk,world_beat,1
post_punk,dark_wave,2
world_fusion,progressive_pub,1
oriented_rock,arena_rock,1
jam_band,experimental,1
soft_rock,yacht_rock,2
electroclash,alternative_dance,2
bollywood,bhangra,1
ccm,alternative_rock,3
pop,british_rap,1
pop_rock,protest,1
neo_bop_jazz,progressive_jazz,1
psychedelic_blues,folk_rock,1
teen_pop,electro_pop,3
shoe_gaze,alternative_rock,18
